original_id,value,unit,year,metric_type,context_preview,reason,confidence,kept_record_id
978,0.0,number,2024,employment_metric,"h potential implications for the workforce. there are 3,504,000 workers for whom we lack data on edu...",Zero employment with specific numbers in context,0.9,
979,2019.0,number,2019,unknown_metric,"re not limited to transformer-based models (devlin et al.,, 2019). llms can process and produce vari...",Citation year extracted as metric value,0.95,
981,10.0,percentage,2024,labor_metric,"workforce could have at least 10% of their work tasks affected by the intro-
duction of llms, while...",Duplicate record (keeping first occurrence),0.9,954.0
982,19.0,percentage,2024,labor_metric,"workforce could have at least 10% of their work tasks affected by the intro-
duction of llms, while...",Duplicate record (keeping first occurrence),0.9,955.0
983,50.0,percentage,2024,labor_metric,"workforce could have at least 10% of their work tasks affected by the intro-
duction of llms, while...",Duplicate record (keeping first occurrence),0.9,956.0
984,3.0,billions_usd,2024,training_metric,"this paper’s primary contributions are to provide a set of measurements of llm impact po-
3baumol’s...",Duplicate record (keeping first occurrence),0.9,980.0
985,50.0,percentage,2024,impact_metrics,nan,Duplicate record (keeping first occurrence),0.9,956.0
5939,80.0,percentage,2024,general_rate,and gpt-4 classifications. our findings reveal that around 80% of the u.s. workforce could have at l...,Duplicate record (keeping first occurrence),0.9,953.0
5940,10.0,percentage,2024,general_rate,l that around 80% of the u.s. workforce could have at least 10% of their work tasks affected by the ...,Duplicate record (keeping first occurrence),0.9,954.0
5941,19.0,percentage,2024,general_rate,"affected by the intro- duction of llms, while approximately 19% of workers may see at least 50% of t...",Duplicate record (keeping first occurrence),0.9,955.0
5942,50.0,percentage,2024,general_rate,"f llms, while approximately 19% of workers may see at least 50% of their tasks im- pacted. we do not...",Duplicate record (keeping first occurrence),0.9,956.0
5943,15.0,percentage,2024,general_rate,"h. our analysis suggests that, with access to an llm, about 15% of all worker tasks in the us could ...",Duplicate record (keeping first occurrence),0.9,957.0
5944,56.0,percentage,2024,general_rate,"uilt on top of llms, this share increases to between 47 and 56% of all tasks. this finding implies t...",Duplicate record (keeping first occurrence),0.9,958.0
5945,3.0,percentage,2024,general_rate,tools built upon them. human assessments suggest that only 3% of u.s. workers have over half of thei...,Duplicate record (keeping first occurrence),0.9,959.0
5946,72.0,percentage,2023,general_rate,"et al.,, 2023), along with wage controls, ranges from 60 to 72%, indicating that 28 to 40% of the va...",Duplicate record (keeping first occurrence),0.9,960.0
5947,40.0,percentage,2024,general_rate,"wage controls, ranges from 60 to 72%, indicating that 28 to 40% of the variation in our ai exposure ...",Duplicate record (keeping first occurrence),0.9,961.0
5948,91.1,percentage,2024,general_rate,"𝜁 e1 + e2 79.5% 0.589 gpt-4, rubric 1; gpt-4, rubric 2 𝛼 e1 91.1% 0.611 6/20/25, 12:55 pm [2303.1013...",Duplicate record (keeping first occurrence),0.9,962.0
5949,30.0,percentage,2024,general_rate,are directly exposed to llms. this figure increases to over 30% for 𝛽 and surpasses 50% for 𝜁. coinc...,Duplicate record (keeping first occurrence),0.9,963.0
5950,2.3,percentage,2024,general_rate,"asks exposed. for example, human annotators determined that 2.3% of occupations are 𝛼50-exposed, 21....",Duplicate record (keeping first occurrence),0.9,964.0
5951,21.6,percentage,2024,general_rate,"tators determined that 2.3% of occupations are 𝛼50-exposed, 21.6% are 𝛽50-exposed, and 47.3% are 𝜁50...",Duplicate record (keeping first occurrence),0.9,965.0
5952,0.0,percentage,2024,general_rate,"er than 50% 𝛽 ex- posure in job zones 1 through 5 have 𝛽 at 0.00% (job zone 1), 6.11% (job zone 2), ...",Duplicate record (keeping first occurrence),0.9,966.0
5953,6.11,percentage,2024,general_rate,"sure in job zones 1 through 5 have 𝛽 at 0.00% (job zone 1), 6.11% (job zone 2), 10.57% (job zone 3),...",Duplicate record (keeping first occurrence),0.9,967.0
5954,34.5,percentage,2024,general_rate,".00% (job zone 1), 6.11% (job zone 2), 10.57% (job zone 3), 34.5% (job zone 4), and 26.45% (job zone...",Duplicate record (keeping first occurrence),0.9,968.0
5955,26.45,percentage,2024,general_rate,"(job zone 2), 10.57% (job zone 3), 34.5% (job zone 4), and 26.45% (job zone 5), respectively. job zo...",Duplicate record (keeping first occurrence),0.9,969.0
5956,1.0,percentage,2020,general_rate,ly significant as- sociations with llm exposure scores at a 1% level. coefficients on ai scores from...,Duplicate record (keeping first occurrence),0.9,970.0
5957,5.0,percentage,2020,general_rate,"2020) are also positive and statistically significant at a 5% level, but our secondary prompt on ove...",Duplicate record (keeping first occurrence),0.9,971.0
5958,30.0,billions_usd,2024,financial_metric,"lso increases, with the median worker in job zone 1 earning $ 30,230 and the median worker in job zo...",Duplicate record (keeping first occurrence),0.9,972.0
5959,80.0,billions_usd,2024,financial_metric,"arning $ 30,230 and the median worker in job zone 5 earning $ 80,980. all of our measures (𝛼, 𝛽, and...",Duplicate record (keeping first occurrence),0.9,973.0
5960,38.0,billions_usd,2024,financial_metric,"a orderlies, cus- tomer service rep- resentatives, tellers $38,215 73,962 0.07 0.12 0.16 0.20 0.24 0...",Duplicate record (keeping first occurrence),0.9,974.0
5961,54.0,billions_usd,2024,financial_metric,"iate’s degree electricians, bar- bers, medical assistants $54,815 37,881 0.11 0.14 0.26 0.32 0.41 0....",Duplicate record (keeping first occurrence),0.9,975.0
5962,46.0,billions_usd,2024,financial_metric,"0.15 0.21 0.25 0.32 0.34 moderate-term on-the-job training $46,880 31,285 0.09 0.12 0.21 0.25 0.32 0...",Duplicate record (keeping first occurrence),0.9,976.0
5963,60.0,billions_usd,2024,financial_metric,",970 2,898 0.23 0.34 0.39 0.53 0.55 0.72 associate’s degree $60,360 3,537 0.12 0.14 0.31 0.36 0.49 0...",Duplicate record (keeping first occurrence),0.9,977.0
5964,0.0,number,2024,employment_metric,"h potential implications for the workforce. there are 3,504,000 workers for whom we lack data on edu...",Duplicate record (keeping first occurrence),0.9,978.0
