original_id,value,unit,year,metric_type,context_preview,reason,kept_record_id,confidence
5185,36.0,percentage,2025,percentages,"ntial for deep task-level use in some roles. more broadly, ∼36% of occupations show usage in at leas...",Duplicate record (keeping first occurrence),5180,0.9
5187,57.0,percentage,2025,percentages,claude to automate or augment tasks (figure 7) we find that 57% of interactions show augmentative pa...,Duplicate record (keeping first occurrence),5181,0.9
5188,43.0,percentage,2025,percentages,"e patterns (e.g., back-and-forth iteration on a task) while 43% demonstrate automation-focused usage...",Duplicate record (keeping first occurrence),5182,0.9
5189,36.0,percentage,2025,adoption_rate,ile our empirical usage data shows lower current adoption (∼36% of occupations using ai for at least...,Duplicate record (keeping first occurrence),5180,0.9
5193,36.0,percentage,2025,percentages,"e highlight that while many occupations see some ai usage (∼36% have at least 25% of tasks), few occ...",Duplicate record (keeping first occurrence),5180,0.9
5194,25.0,percentage,2025,percentages,"hile many occupations see some ai usage (∼36% have at least 25% of tasks), few occupations exhibit w...",Duplicate record (keeping first occurrence),5186,0.9
5195,4.0,percentage,2025,percentages,"ns exhibit widespread usage of ai across their tasks (only ∼4% have 75% or more tasks), suggesting a...",Duplicate record (keeping first occurrence),5183,0.9
5196,75.0,percentage,2025,percentages,"it widespread usage of ai across their tasks (only ∼4% have 75% or more tasks), suggesting ai integr...",Duplicate record (keeping first occurrence),5184,0.9
5197,4.0,percentage,2025,percentages,at ai task use follows a heavily skewed distribution. only ∼4% of occupations show usage for at leas...,Duplicate record (keeping first occurrence),5183,0.9
5198,75.0,percentage,2025,percentages,stribution. only ∼4% of occupations show usage for at least 75% of their associated tasks—for exampl...,Duplicate record (keeping first occurrence),5184,0.9
5199,75.0,percentage,2025,percentages,"s—for example, in foreign language and literature teachers (75% of tasks), we observe ai usage for t...",Duplicate record (keeping first occurrence),5184,0.9
5202,36.0,percentage,2025,percentages,"rdination. the picture broadens at lower thresholds, where ∼36% of occupations see at least a quarte...",Duplicate record (keeping first occurrence),5180,0.9
5203,25.0,percentage,2025,percentages,"s with some usage of ai—exemplified by physical therapists (25% of tasks), where we observe ai inter...",Duplicate record (keeping first occurrence),5186,0.9
5204,57.0,percentage,2025,percentages,"slightly more conversations being labeled as augmentative (57%) than automative (43%). that said, we...",Duplicate record (keeping first occurrence),5181,0.9
5205,43.0,percentage,2025,percentages,"ations being labeled as augmentative (57%) than automative (43%). that said, we note an important ca...",Duplicate record (keeping first occurrence),5182,0.9
5206,43.0,percentage,2025,percentages,"r workflow. figure 7: distribution of automative behaviors (43%) where users delegate tasks to ai, a...",Duplicate record (keeping first occurrence),5182,0.9
5207,57.0,percentage,2025,percentages,"ere users delegate tasks to ai, and augmentative behaviors (57%) where users actively collaborate wi...",Duplicate record (keeping first occurrence),5181,0.9
5210,57.0,percentage,2025,adoption_rate,"by contrast, our empirical data shows current adoption at ∼57% of occupations using ai for at least ...",Duplicate record (keeping first occurrence),5181,0.9
5211,10.0,percentage,2025,adoption_rate,rrent adoption at ∼57% of occupations using ai for at least 10% of their tasks—lower than predicted ...,Duplicate record (keeping first occurrence),5209,0.9
5212,4.0,percentage,2025,percentages,"peaks in software development and technical writing, with ∼4% of occupations showing usage across th...",Duplicate record (keeping first occurrence),5183,0.9
5213,36.0,percentage,2025,percentages,ons showing usage across three-quarters of their tasks and ∼36% showing usage in at least a quarter ...,Duplicate record (keeping first occurrence),5180,0.9
5214,43.0,percentage,2025,percentages,their tasks. usage splits nearly evenly between automation (43%) and augmentation (57%) of human cap...,Duplicate record (keeping first occurrence),5182,0.9
5215,57.0,percentage,2025,percentages,ts nearly evenly between automation (43%) and augmentation (57%) of human capabilities. while these ...,Duplicate record (keeping first occurrence),5181,0.9
5220,10.0,percentage,2025,percentages,"dataset, and usage relating to coursework comprises only 5-10% of conversations, depending on the ch...",Duplicate record (keeping first occurrence),5209,0.9
5225,50.0,percentage,2025,percentages,"sociated related tasks dominate the distribution, at nearly 50% of conversations. the second tier co...",Duplicate record (keeping first occurrence),5201,0.9
5228,15.0,percentage,2025,percentages,"1: most prevalent top-level tasks. each represent less than 15% of conversations, with healthcare se...",Duplicate record (keeping first occurrence),5227,0.9
