value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
19.0,number,net_employment_change,education,net 2021 03 google-and-the-university-of-oxford-launch-global-covid-19-tracker-platform  195 https:  news.uchicago.edu story uchicago-joins-new-academicindustry-consortium-accelerate-ai-innovation 196 We discuss the evid,45,7,0.9162153846153847,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896438,2316
195.0,number,net_employment_change,education,net 2021 03 google-and-the-university-of-oxford-launch-global-covid-19-tracker-platform  195 https:  news.uchicago.edu story uchicago-joins-new-academicindustry-consortium-accelerate-ai-innovation 196 We discuss the evidence in detail below,45,7,0.9162153846153847,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896439,2317
6.0,percentage,ai_adoption_rate,education,"Undergraduate students, faculty, doctoral students and postdoctoral researchers are mentioned as collaborators in only 6% of cases, while partnerships with researchers outside of universities occur in only 5% of AI-using enterprises.",139,6,0.9060615384615385,2024,pattern_matching,[],Undergraduate,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.835036,5591
840.0,number,ai_implementation_count,education,"Enterprise size and the probability of adopting an AI application across 840 enterprises in G7 countries, 2022-23 72 Table 3.4. The intensity of enterprises  spending on R D for AI across 840 enterprises in G7 countries, 2022-",7,6,0.9060615384615385,2024,pattern_matching,[],Enterprise,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833916,4087
4.2,number,ai_implementation_count,education,"Institutions interviewed for this study and the diffusion mechanisms they use 101 Table 4.2. AI Singapore s AI Readiness Index 107 Table 4.3. Sample catalogues of AI applications, use cases and experiences 114 Table 6.",7,6,0.9060615384615385,2024,pattern_matching,[],Institutions,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833928,4103
2023.0,number,workforce_augmentation,education,", and Daniel Schwarcz,  AI Assistance in Legal Analysis: An Empirical Study,  SSRN working paper, 2023. https:  doi.org 10.2139 ssrn.4 539836 Chui, Michael , Bryce Hall, Alex Singla, and Alex Sukharevsky,  Global Survey: The State of AI in 2021,  Techn",50,1,0.9060615384615385,2021,pattern_matching,[],Daniel Schwarcz,Generative AI at Work.pdf,2025-07-24T17:20:18.575144,7915
72.0,number,ai_implementation_count,education,"Enterprise size and the probability of adopting an AI application across 840 enterprises in G7 countries, 2022-23 72 Table 3.4. The intensity of enterprises  spending on R D for AI across 840 enterprises in G7 countries, 2022- 23 77 Table 3.",7,6,0.9060615384615385,2024,pattern_matching,[],Enterprise,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833916,4088
71.0,number,ai_implementation_count,education,"Average number of active AI uses across 840 enterprises by G7 country and industry, 2022-23 71 Table 3.3. Enterprise size and the probability of adopting an AI application across 840 enterprises in G7 countries, 2022-23 72 Table 3.",7,6,0.9060615384615385,2024,pattern_matching,[],Average,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833915,4086
2022.0,number,ai_implementation_count,education,"Average number of active AI uses across 840 enterprises by G7 country and industry, 2022-23 71 Table 3.3. Enterprise size and the probability of adopting an AI application across 840 enterprises in G7 countries, 2022-23 72 Table 3.",7,6,0.9060615384615385,2024,pattern_matching,[],Average,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833914,4085
23.0,number,ai_implementation_count,education,"The 11 applications of AI considered in the 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises 67 Table 3.2. Average number of active AI uses across 840 enterprises by G7 country and industry, 2",7,6,0.9060615384615385,2024,pattern_matching,[],Survey,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833911,4081
