value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
4.0,number,ai_patents_filed,healthcare,"In Japan, the shortfall is predicted to be 370,000 care workers by 2025,315 while the EU s anticipated shortfall is 4 million care workers by 2030.316 This deficiency is in part due to the occupation s relatively low social status, as caregivers typically receive low",69,1,0.8185294117647058,2025,pattern_matching,[],In Japan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896797,2796
318.0,number,ai_implementation_count,healthcare,"during implementation  such was the case when medical facilities adopted electronic medical record systems with little input from doctors and nurses,318 and it is likely to be the case with AI-based caregiving.",69,1,0.8185294117647058,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896800,2800
2030.316,number,ai_patents_filed,healthcare,"In Japan, the shortfall is predicted to be 370,000 care workers by 2025,315 while the EU s anticipated shortfall is 4 million care workers by 2030.316 This deficiency is in part due to the occupation s relatively low social status, as caregivers typically receive low pay and are devalued compared to",69,1,0.8185294117647058,2025,pattern_matching,[],In Japan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896798,2797
2025.0,number,ai_patents_filed,healthcare,"In Japan, the shortfall is predicted to be 370,000 care workers by 2025,315 while the EU s anticipated shortfall is 4 million care workers by 2030.316 This deficiency is in part due to the occupation s relatively low soci",69,1,0.8185294117647058,2025,pattern_matching,[],In Japan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896795,2793
315.0,number,ai_patents_filed,healthcare,"In Japan, the shortfall is predicted to be 370,000 care workers by 2025,315 while the EU s anticipated shortfall is 4 million care workers by 2030.316 This deficiency is in part due to the occupation s relatively low social s",69,1,0.8185294117647058,2025,pattern_matching,[],In Japan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896795,2794
100.0,number,ai_implementation_count,healthcare,"ion between mistrust of the system (ignoring it) and over-reliance on the system (trusting it even when it is wrong), a central concern of the 2016 AI100 report.",54,4,0.7811764705882352,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896561,2475
2016.0,number,ai_implementation_count,healthcare,"scillation between mistrust of the system (ignoring it) and over-reliance on the system (trusting it even when it is wrong), a central concern of the 2016 AI100 report.",54,4,0.7811764705882352,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896560,2474
27.0,number,ai_implementation_count,healthcare,"27 Michael Anis Mihdi Afnan, Cynthia Rudin, Vincent Conitzer, Julian Savulescu, Abhishek Mishra, Yanhe Liu, and Masoud Afnan,  Ethical Implementation of",15,7,0.7511764705882352,2024,pattern_matching,[],Michael Anis Mihdi Afnan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895915,1626
26.0,number,net_employment_change,healthcare,"26 For example, CheXNet. 27 Michael Anis Mihdi Afnan, Cynthia Rudin, Vincent Conitzer, Julian Savulescu, Abhishek Mishra, Yanhe Liu, and Masoud Afnan,",15,7,0.7511764705882352,2024,pattern_matching,[],Michael Anis Mihdi Afnan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895914,1625
25.0,number,net_employment_change,healthcare,"25 For example, BioMind, PolypDx. 26 For example, CheXNet. 27 Michael Anis Mihdi Afnan, Cynthia Rudin, Vincent Conitzer, Julian Savulescu, Abhishek Mish",15,7,0.7511764705882352,2024,pattern_matching,[],Michael Anis Mihdi Afnan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895914,1624
24.0,number,net_employment_change,healthcare,"24 For example, IDx-DR. 25 For example, BioMind, PolypDx. 26 For example, CheXNet. 27 Michael Anis Mihdi Afnan, Cynthia Rudin, Vincent Conitzer, Julian",15,7,0.7511764705882352,2024,pattern_matching,[],Michael Anis Mihdi Afnan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895913,1623
20.0,number,ai_implementation_count,healthcare,20 https:  www.consumerreports.org car-safety cadillac-super-cruise-outperforms-other-active-driving-assistance-systems  21 https:  www.nytimes.com 2021,15,7,0.7511764705882352,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895907,1615
20.0,count,ai_implementation_count,healthcare,Robotics companies are arguing for 20km h. 20 https:  www.consumerreports.org car-safety cadillac-super-cruise-outperforms-other-active-driving-assistance-systems  21 https:  www.,15,7,0.7511764705882352,2024,pattern_matching,[],Robotics,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895906,1614
21.0,number,ai_implementation_count,healthcare,org car-safety cadillac-super-cruise-outperforms-other-active-driving-assistance-systems  21 https:  www.nytimes.com 2021 05 24 technology self-driving-cars-wait.,15,7,0.7511764705882352,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895907,1616
2021.0,number,ai_implementation_count,healthcare,"Abhishek Mishra, Yanhe Liu, and Masoud Afnan,  Ethical Implementation of Artificial Intelligence to Select Embryos in In Vitro Fertilization,  April 2021 https:  arxiv.",15,7,0.7511764705882352,2024,pattern_matching,[],Abhishek Mishra,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895916,1627
0.0,number,ai_patents_filed,healthcare,"In Japan, the shortfall is predicted to be 370,000 care workers by 2025,315 while the EU s anticipated shortfall is 4 million care workers by 2030.316 This deficiency is in part due to the occupation",69,1,0.7441176470588234,2025,pattern_matching,[],In Japan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896794,2792
370.0,number,ai_patents_filed,healthcare,"In Japan, the shortfall is predicted to be 370,000 care workers by 2025,315 while the EU s anticipated shortfall is 4 million care workers by 2030.316 This deficiency is in part due to the occupat",69,1,0.7441176470588234,2025,pattern_matching,[],In Japan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896793,2791
166.0,number,ai_implementation_count,healthcare,"In Feb Mar 2024, media, entertainment, and telecommunications, n   70  technology, n   184  business, legal, and professional services, n   166  energy and materials, n   113  advanced industries, n   86  consumer goods and retail, n   100  ﬁnancial services, n   201  healthcare, pharmaceutic",19,14,0.661035294117647,2024,pattern_matching,['Missing required context keywords'],In Feb Mar,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963571,12240
199.0,number,ai_implementation_count,healthcare,"In July 2024, media, entertainment, and telecommunications, n   77  technology, n   199  business, legal, and professional services, n   179  energy and materials, n   142  advanced industries, n   97  consumer goods and retail, n   111",19,14,0.661035294117647,2024,pattern_matching,['Missing required context keywords'],In July,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963576,12247
