value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
867.0,number,ai_implementation_count,information_communication_technology,"Though each experiment is noisy, when data is combined across three experiments and 4,867 de- velopers, our analysis reveals a 26.08% increase (SE: 10.",0,4,0.6130526315789474,2024,pattern_matching,['Missing required context keywords'],Though,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779142
2024.0,number,ai_implementation_count,education,"This RCT was post-registered as AEARCTR-0014530 (Peng 2024). We are grateful to Avi Goldfarb, Shane Greenstein, Anton Korinek, Ethan Mollick, and Daniel Rock, as well as the participants of the IIOC2024 confe",0,5,0.7008861538461539,2024,pattern_matching,['Missing required context keywords'],Peng,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779146
2025.0,number,ai_implementation_count,education,"rateful to Avi Goldfarb, Shane Greenstein, Anton Korinek, Ethan Mollick, and Daniel Rock, as well as the participants of the IIOC2024 conference, ASSA2025 conference, and the AI, Cognition, and the Economy Workshop.",0,5,0.7008861538461539,2024,pattern_matching,['Missing required context keywords'],Avi Goldfarb,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779147
80.0,percentage,job_creation,unknown,"(2024) estimate that generative AI can per- form tasks associated with over 80% of U.S. jobs, with particularly high task coverage in occupations requiring advanced degrees.",1,1,0.7,2024,pattern_matching,[],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779148
80.0,number,job_creation,unknown,"(2024) estimate that generative AI can per- form tasks associated with over 80% of U.S. jobs, with particularly high task coverage in occupations requiring advanced degrees.",1,1,0.7,2024,pattern_matching,[],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779149
2023.0,number,ai_implementation_count,unknown,"oftware engineers in writing code has fueled predictions of substantial productivity gains from widespread adoption (Baily, Brynjolfsson, and Korinek 2023).",1,1,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Baily,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779150
2025.0,count,ai_implementation_count,unknown,"Others, however, are less optimistic about such productivity gains (Acemoglu 2025). Uncertainty regarding firms  willingness to adopt these technologies and their capac- ity to make necessary complementary investments (Bresnahan 20",1,1,0.616,2024,pattern_matching,['Missing required context keywords'],Others,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779150
2024.0,count,ai_implementation_count,unknown,"Uncertainty regarding firms  willingness to adopt these technologies and their capac- ity to make necessary complementary investments (Bresnahan 2024  Brynjolfsson, Rock, and Syverson 2021) makes it currently difficult to empirically assess whether or not op- timism about productivity gains is just",1,1,0.616,2024,pattern_matching,['Missing required context keywords'],Uncertainty,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779151
2021.0,number,ai_implementation_count,unknown,"ngness to adopt these technologies and their capac- ity to make necessary complementary investments (Bresnahan 2024  Brynjolfsson, Rock, and Syverson 2021) makes it currently difficult to empirically assess whether or not op- timism about productivity gains is justified.",1,1,0.616,2024,pattern_matching,['Missing required context keywords'],Bresnahan,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779152
1.0,number,ai_implementation_count,unknown,"1 Nevertheless, some applications of gener- ative AI have already matured and are integrated into existing workflows. An example is software developmen",1,1,0.7,2024,pattern_matching,[],Nevertheless,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779153
100.0,number,ai_implementation_count,information_communication_technology,"t developed by GitHub in collaboration with OpenAI, to just under five thousand software developers at Microsoft, Accenture, and an anonymous Fortune 100 electronics manufacturing company (henceforth Anonymous Company).",1,2,0.6799157894736843,2024,pattern_matching,['Missing required context keywords'],Microsoft,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779154
26.08,percentage,ai_adoption_rate,information_communication_technology,Our preferred estimates from an instrumental variable regression suggest that usage of the coding assistant causes a 26.08% (SE: 10.3%) increase in the weekly number of completed tasks for those using the tool.,1,2,0.8498947368421053,2024,pattern_matching,[],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779154
26.08,number,workforce_augmentation,information_communication_technology,Our preferred estimates from an instrumental variable regression suggest that usage of the coding assistant causes a 26.08% (SE: 10.3%) increase in the weekly number of completed tasks for those using the tool.,1,2,0.8498947368421053,2024,pattern_matching,[],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779155
10.3,percentage,ai_adoption_rate,information_communication_technology,"08% (SE: 10.3%) increase in the weekly number of completed tasks for those using the tool.4 When we look at outcomes of secondary interest, our results support this",1,2,0.7726315789473683,2024,pattern_matching,[],When,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779156
10.3,number,workforce_augmentation,information_communication_technology,"08% (SE: 10.3%) increase in the weekly number of completed tasks for those using the tool.4 When we look at outcomes of secondary interest, our results support thi",1,2,0.7726315789473683,2024,pattern_matching,[],When,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779157
3.0,number,workforce_augmentation,information_communication_technology,"3%) increase in the weekly number of completed tasks for those using the tool.4 When we look at outcomes of secondary interest, our results support thi",1,2,0.7726315789473683,2024,pattern_matching,[],When,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779157
4.0,number,workforce_augmentation,information_communication_technology,"4 When we look at outcomes of secondary interest, our results support this interpretation, with a 13.55% (SE: 10.0%) increase in the number of code upd",1,2,0.7726315789473683,2024,pattern_matching,[],When,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779158
13.55,percentage,workforce_augmentation,information_communication_technology,"4 When we look at outcomes of secondary interest, our results support this interpretation, with a 13.55% (SE: 10.0%) increase in the number of code updates (commits) and a 38.",1,2,0.7726315789473683,2024,pattern_matching,[],When,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779159
13.55,number,workforce_augmentation,information_communication_technology,"4 When we look at outcomes of secondary interest, our results support this interpretation, with a 13.55% (SE: 10.0%) increase in the number of code updates (commits) and a 38.",1,2,0.7726315789473683,2024,pattern_matching,[],When,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779160
13.0,number,workforce_augmentation,information_communication_technology,"4 When we look at outcomes of secondary interest, our results support this interpretation, with a 13.55% (SE: 10.0%) increase in the number of code updates (commits) and a 38.",1,2,0.7726315789473683,2024,pattern_matching,[],When,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779162
55.0,number,ai_implementation_count,information_communication_technology,55% (SE: 10.0%) increase in the number of code updates (commits) and a 38.38% (SE: 12.55%) increase in the number of times code was compiled. A central,1,2,0.6181052631578947,2024,pattern_matching,['Missing required context keywords'],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779163
38.38,percentage,ai_adoption_rate,information_communication_technology,0%) increase in the number of code updates (commits) and a 38.38% (SE: 12.55%) increase in the number of times code was compiled. A central question is whether AI offers greater benefits to low-productivity or high-,1,2,0.6799157894736843,2024,pattern_matching,['Missing required context keywords'],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779164
38.38,number,ai_implementation_count,information_communication_technology,0%) increase in the number of code updates (commits) and a 38.38% (SE: 12.55%) increase in the number of times code was compiled. A central question is whether AI offers greater benefits to low-productivity or high,1,2,0.6799157894736843,2024,pattern_matching,['Missing required context keywords'],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779164
12.55,percentage,ai_adoption_rate,information_communication_technology,38% (SE: 12.55%) increase in the number of times code was compiled. A central question is whether AI offers greater benefits to low-productivity or high-,1,2,0.6181052631578947,2024,pattern_matching,['Missing required context keywords'],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779165
