value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
25.0,number,ai_implementation_count,unknown,Working Paper 25-021 Generative AI and the Nature of Work,0,0,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Working Paper,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827936
21.0,number,ai_implementation_count,unknown,Working Paper 25-021 Generative AI and the Nature of Work,0,0,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Working Paper,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827942
2025.0,number,ai_implementation_count,unknown,,1,7,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827943
2024.0,number,ai_patents_filed,information_communication_technology,"e are further grateful for feedback from participants at the  Labor in the Age of Generative AI  conference at the University of Chicago, the NBER SI 2024 Digital Economics and Artificial Intelligence in Cambridge, MA, the 2024 NBER Productivity Seminar in Cambridge, MA, the 2024 Academy of Management C",2,9,0.8663947368421052,2024,pattern_matching,[],Labor,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827944
2024.0,number,ai_implementation_count,information_communication_technology,"e Age of Generative AI  conference at the University of Chicago, the NBER SI 2024 Digital Economics and Artificial Intelligence in Cambridge, MA, the 2024 NBER Productivity Seminar in Cambridge, MA, the 2024 Academy of Management Conference in Chicago, IL, the 22nd ZEW Economics of ICT conference, in Ma",2,9,0.6931157894736842,2024,pattern_matching,['Missing required context keywords'],Generative,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827944
22.0,number,ai_implementation_count,information_communication_technology,"ial Intelligence in Cambridge, MA, the 2024 NBER Productivity Seminar in Cambridge, MA, the 2024 Academy of Management Conference in Chicago, IL, the 22nd ZEW Economics of ICT conference, in Mannheim, Germany, the 20th Symposium on Statistical Challenges in Electronic Commerce Research in Lisbon, Port",2,9,0.6931157894736842,2024,pattern_matching,['Missing required context keywords'],Intelligence,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827945
20.0,number,ai_implementation_count,information_communication_technology,"minar in Cambridge, MA, the 2024 Academy of Management Conference in Chicago, IL, the 22nd ZEW Economics of ICT conference, in Mannheim, Germany, the 20th Symposium on Statistical Challenges in Electronic Commerce Research in Lisbon, Portugal, the ACM Collective Intelligence Conference in Boston, MA,",2,9,0.6931157894736842,2024,pattern_matching,['Missing required context keywords'],Cambridge,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827946
2025.0,number,ai_implementation_count,information_communication_technology,"rence in Boston, MA, the MIT CODE Conference in Cambridge MA and the CESifo Area Conference on Economics of Digitization 2024 in Munich, Germany, the 2025 Allied Social Science Association conference in San Francisco and the European Central Bank conference on  The Transformative Power of AI: Economic I",2,9,0.6931157894736842,2024,pattern_matching,['Missing required context keywords'],Boston,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827947
2021.0,number,ai_implementation_count,unknown,"gory of technologies that alter the course of history (Crafts, 2021  Goldfarb, Taska, and Teodoridis,",3,4,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Crafts,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827947
2023.0,number,ai_implementation_count,unknown,If AI   broadly defined as the use of computers and machines to,3,5,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827948
