value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
17.0,number,ai_implementation_count,unknown,"March 17, 2025 by Dave Salvator",0,14,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],March,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931285
2025.0,number,ai_implementation_count,unknown,"March 17, 2025 by Dave Salvator",0,14,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],March,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931290
6.0,number,ai_implementation_count,information_communication_technology,"6 20 25, 1:55 PM Explaining Tokens   the Language and Currency of AI   NVIDIA Blog",0,15,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Explaining Tokens,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931291
20.0,number,ai_implementation_count,information_communication_technology,"6 20 25, 1:55 PM Explaining Tokens   the Language and Currency of AI   NVIDIA Blog",0,15,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Explaining Tokens,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931292
25.0,number,ai_implementation_count,information_communication_technology,"6 20 25, 1:55 PM Explaining Tokens   the Language and Currency of AI   NVIDIA Blog",0,15,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Explaining Tokens,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931293
1.0,number,ai_implementation_count,information_communication_technology,"6 20 25, 1:55 PM Explaining Tokens   the Language and Currency of AI   NVIDIA Blog",0,15,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Explaining Tokens,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931294
55.0,number,ai_implementation_count,information_communication_technology,"6 20 25, 1:55 PM Explaining Tokens   the Language and Currency of AI   NVIDIA Blog",0,15,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Explaining Tokens,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931295
20.0,number,ai_implementation_count,unknown,,1,2,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931296
25.0,number,ai_implementation_count,unknown,,1,2,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931297
217.0,number,ai_implementation_count,unknown,"The word darkness, for example, would be split into two tokens,  dark  and  ness,  with each token bearing a numerical representation, such as 217 and 655.",1,11,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931298
655.0,number,ai_implementation_count,unknown,"he word darkness, for example, would be split into two tokens,  dark  and  ness,  with each token bearing a numerical representation, such as 217 and 655.",1,11,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931298
491.0,number,ai_implementation_count,unknown,,1,12,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931300
3.0,number,ai_implementation_count,information_communication_technology,com blog ai-tokens-explained  3 25,2,23,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931301
100.0,number,ai_implementation_count,unknown,The corresponding increase in tokens per prompt can require over 100x more compute compared with a single inference pass on a,3,9,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931301
40.0,percentage,productivity_improvement,unknown,Turn RTX ON With 40% Off Performance Day Passes,5,5,0.5599999999999999,2024,pattern_matching,[],Turn,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931302
40.0,number,ai_implementation_count,unknown,Turn RTX ON With 40% Off Performance Day Passes,5,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Turn,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931303
5000.0,millions_usd,ai_investment_amount,unknown,Mods push graphics,6,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Mods,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931304
5.0,number,ai_implementation_count,unknown,Mods push graphics,6,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Mods,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931305
50.0,number,ai_implementation_count,information_communication_technology,"Today, RTX Remix exited beta and fully launched with new NVIDIA GeForce RTX 50 Series neural rendering technology and many community-requested upgrades.",6,10,0.6130526315789474,2024,pattern_matching,['Missing required context keywords'],Today,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931306
30.0,number,ai_implementation_count,unknown,"Since its initial beta release, RTX Remix has been experimented with by over 30,000 modders, bringing ray-traced mods of hundreds of classic titles to over 1 million gamers.",6,11,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Since,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931307
0.0,number,ai_implementation_count,unknown,"Since its initial beta release, RTX Remix has been experimented with by over 30,000 modders, bringing ray-traced mods of hundreds of classic titles to over 1 million gamers.",6,11,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Since,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931308
1.0,millions_usd,ai_investment_amount,unknown,"its initial beta release, RTX Remix has been experimented with by over 30,000 modders, bringing ray-traced mods of hundreds of classic titles to over 1 million gamers.",6,11,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Remix,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931308
1.0,number,ai_implementation_count,unknown,"its initial beta release, RTX Remix has been experimented with by over 30,000 modders, bringing ray-traced mods of hundreds of classic titles to over 1 million gamers.",6,11,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Remix,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931309
13.0,number,ai_implementation_count,unknown,"March 13, 2025 by Nyle Usmani",6,15,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],March,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931310
7.0,number,ai_implementation_count,information_communication_technology,com blog ai-tokens-explained  7 25,6,17,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,nvidia-cost-trends-ai-inference-at-scale.pdf,2025-07-24T17:20:37.931311
