original_id,value,unit,year,metric_type,context_preview,reason,confidence,proposed_action,kept_record_id
1021,0.66,percentage,2025,productivity,conomic effects appear nontrivial but modest—no more than a 0.66% increase in total factor productiv...,Passed all validation checks,0.85,KEEP,
1022,0.53,percentage,2025,percentages,ears are even more modest and are predicted to be less than 0.53%. i also explore ai’s wage and ineq...,Passed all validation checks,0.85,KEEP,
1023,7.0,percentage,2023,growth_rate,"dict big effects on output. goldman sachs (2023) predicts a 7% increase in global gdp, equivalent to...",Passed all validation checks,0.85,KEEP,
1024,1.5,percentage,2025,productivity,"7% increase in global gdp, equivalent to $7 trillion, and a 1.5% per annum increase in us productivi...",Passed all validation checks,0.85,KEEP,
1025,100.0,percentage,2024,growth_rate,"1korinek and suh (2024) predict a “baseline” gdp growth of 100% over the next 10 years, and also ent...",Passed all validation checks,0.85,KEEP,
1026,300.0,percentage,2025,growth_rate,"ity of much higher “aggressive” agi growth rates, such as a 300% increase in gdp. many others are se...",Passed all validation checks,0.85,KEEP,
1027,20.0,percentage,2025,percentages,bill share in the us economy. this calculation implies that 20% of us labor tasks are exposed to ai....,Passed all validation checks,0.85,KEEP,
1028,23.0,percentage,2025,percentages,"te for computer vision tasks that, among all exposed tasks, 23% can be profitably performed by ai (f...",Passed all validation checks,0.85,KEEP,
1029,27.0,percentage,2023,cost,the benefits). i take the average labor cost savings to be 27%—the average of the estimates in noy a...,Passed all validation checks,0.85,KEEP,
1030,14.4,percentage,2025,cost,"y labor shares, which imply average overall cost savings of 14.4%. this calculation implies that tot...",Passed all validation checks,0.85,KEEP,
1031,0.66,percentage,2025,growth_rate,fp) effects within the next 10 years should be no more than 0.66% in total—or approximately a 0.064%...,Duplicate record (keeping first occurrence),0.9,REMOVE,1021.0
1032,0.064,percentage,2025,growth_rate,rs should be no more than 0.66% in total—or approximately a 0.064% increase in tfp growth annually. ...,Passed all validation checks,0.85,KEEP,
1033,0.9,percentage,2025,cost,"her declines in gpu costs, this number still remains around 0.9%. to turn these numbers into gdp est...",Passed all validation checks,0.85,KEEP,
1034,0.93,percentage,2025,percentages,"ment effects incorporated, gdp is also estimated to grow by 0.93% −1.16% over the next 10 years. whe...",Passed all validation checks,0.85,KEEP,
1035,1.16,percentage,2025,investment,"fects incorporated, gdp is also estimated to grow by 0.93% −1.16% over the next 10 years. when i ass...",Passed all validation checks,0.85,KEEP,
1036,1.4,percentage,2025,percentages,"pital stock, the upper bound on gdp effects rises to around 1.4%−1.56%. nevertheless, my framework a...",Passed all validation checks,0.85,KEEP,
1037,1.56,percentage,2025,percentages,"stock, the upper bound on gdp effects rises to around 1.4%−1.56%. nevertheless, my framework also cl...",Passed all validation checks,0.85,KEEP,
1038,73.0,percentage,2025,percentages,"of (speculative) assumptions, i estimate an upper bound of 73% easy tasks among eloundou et al.’s ex...",Passed all validation checks,0.85,KEEP,
1039,0.53,percentage,2025,percentages,"p and gdp in the next 10 years that can be upper bounded by 0.53% and 0.90%, respectively. new tasks...",Duplicate record (keeping first occurrence),0.9,REMOVE,1022.0
1040,0.9,percentage,2025,percentages,"in the next 10 years that can be upper bounded by 0.53% and 0.90%, respectively. new tasks created w...",Duplicate record (keeping first occurrence),0.9,REMOVE,1033.0
1041,2.0,percentage,2025,growth_rate,"eases in gdp. for example, ai may appear to increase gdp by 2%, while in reality reducing welfare by...",Passed all validation checks,0.85,KEEP,
1042,0.72,percentage,2025,growth_rate,"o increase gdp by 2%, while in reality reducing welfare by −0.72% (in consumption equivalent units)....",Passed all validation checks,0.85,KEEP,
1043,30.0,percentage,2020,cost,"he case of robots, expert reports put cost savings at about 30% of labor costs (see acemoglu and res...",Passed all validation checks,0.85,KEEP,
1044,27.0,percentage,2025,cost,"er detail below, suggest numbers in the same ballpark—about 27% of labor costs.13 although it is not...",Passed all validation checks,0.85,KEEP,
1045,25.0,percentage,2025,percentages,"tfp equation below, which will lead to gains that are about 25% less than those that do not take the...",Passed all validation checks,0.85,KEEP,
