original_id,value,unit,year,metric_type,context_preview,reason,confidence
226,8.0,percentage,2024,revenue_metric,"8% increase in sales per worker for firms innovating in ai technologies, while [5] put this
number ...",Duplicate record (keeping first occurrence),0.9
231,0.0,percentage,2024,training_metric,"00%
has your organization provided any ai-related
training or education programs for its employees...",Duplicate record (keeping first occurrence),0.9
232,0.0,percentage,2024,energy_metric,"00%
energy sector
1",Zero percentage likely extraction artifact,0.75
233,80.0,percentage,2024,energy_metric,84 for 80% power),Duplicate record (keeping first occurrence),0.9
234,6.8,percentage,2024,impact_metrics,"rademarks associated with ai but no increase in sales per worker. conversely, ref. [20] estimated a ...",Duplicate record (keeping first occurrence),0.9
4332,33.0,percentage,2024,general_rate,[7] argue that ai could increase aggregate productivity by 33% over 20 years through its impact on k...,Duplicate record (keeping first occurrence),0.9
4333,8.0,percentage,2024,general_rate,german firms introducing new products or processes by about 8%. babina et al. [19] reported signific...,Duplicate record (keeping first occurrence),0.9
4334,6.8,percentage,2024,general_rate,"ease in sales per worker. conversely, ref. [20] estimated a 6.8% increase in sales per worker for fi...",Duplicate record (keeping first occurrence),0.9
4335,4.4,percentage,2024,general_rate,"innovating in ai technologies, while [5] put this number at 4.4%. 2.2. measurement challenges and th...",Duplicate record (keeping first occurrence),0.9
4336,13.8,percentage,2024,general_rate,"customer service, with ai-assisted support agents handling 13.8% more inquiries per hour [24]. autom...",Duplicate record (keeping first occurrence),0.9
4337,59.0,percentage,2024,general_rate,"onal efficiency, enabling business professionals to produce 59% more documents per hour and programm...",Duplicate record (keeping first occurrence),0.9
4338,126.0,percentage,2024,general_rate,"produce 59% more documents per hour and programmers to code 126% more projects per week [20,21]. 2.4...",Duplicate record (keeping first occurrence),0.9
4339,95.0,percentage,2024,general_rate,"z-value for the desired level of confidence (e.g., 1.96 for 95% confidence). • zβ is the z-value for...",Duplicate record (keeping first occurrence),0.9
4340,80.0,percentage,2024,general_rate,". • zβ is the z-value for the desired power (e.g., 0.84 for 80% power). • p is the estimated proport...",Duplicate record (keeping first occurrence),0.9
4341,2.58,percentage,2024,general_rate,"rcentage what is your age? age (1–6 scale, 6 for 41+) 18–20 2.58% 21–25 22.75% 26–30 22.75% 31–35 21...",Duplicate record (keeping first occurrence),0.9
4342,22.75,percentage,2024,general_rate,"t is your age? age (1–6 scale, 6 for 41+) 18–20 2.58% 21–25 22.75% 26–30 22.75% 31–35 21.03% 36–40 1...",Duplicate record (keeping first occurrence),0.9
4343,12.02,percentage,2024,general_rate,+) 18–20 2.58% 21–25 22.75% 26–30 22.75% 31–35 21.03% 36–40 12.02% 41+ 18.88% rate the level of ai i...,Duplicate record (keeping first occurrence),0.9
4344,18.88,percentage,2024,general_rate,58% 21–25 22.75% 26–30 22.75% 31–35 21.03% 36–40 12.02% 41+ 18.88% rate the level of ai integration ...,Duplicate record (keeping first occurrence),0.9
