id,source_id,metric_type,value,unit,year,sector,region,technology,context,confidence,page_number,created_at,updated_at
238,7,employment_metric,47.0,percentage,2024,,,,"ty of computation of over 700 occupations, concluding that 47% of total us employment is attributable to occupations poten",0.7,,2025-07-20 00:07:18.595238,2025-07-20 00:07:18.595241
239,7,employment_metric,9.0,percentage,2022,,,,"upations and conclude that across 21 oecd countries, around 9% of jobs are automatable. (lassébie and quintini, 2022[5]).",0.7,,2025-07-20 00:07:18.595243,2025-07-20 00:07:18.595244
240,7,employment_metric,28.0,percentage,2024,,,,"ccupations at highest risk of automation account for about 28% of jobs. more recently, in research for the international",0.7,,2025-07-20 00:07:18.595245,2025-07-20 00:07:18.595246
241,7,employment_metric,40.0,percentage,2024,,,,"ts or replaces job roles. the authors conclude that almost 40% of global employment is exposed to ai, rising to around 60%",0.7,,2025-07-20 00:07:18.595246,2025-07-20 00:07:18.595247
242,7,employment_metric,60.0,percentage,2024,,,,"40% of global employment is exposed to ai, rising to around 60% of jobs in advanced economies, owing to the greater presen",0.7,,2025-07-20 00:07:18.595248,2025-07-20 00:07:18.595249
243,7,general_rate,1.9,percentage,2017,,,,r of survey) country manufacturing ict source canada 1.9% 20.4% statistics canada (2017) germany 2.2-11.0% (depen,0.7,,2025-07-20 00:07:18.595250,2025-07-20 00:07:18.595251
244,7,general_rate,20.4,percentage,2017,,,,survey) country manufacturing ict source canada 1.9% 20.4% statistics canada (2017) germany 2.2-11.0% (depending on,0.7,,2025-07-20 00:07:18.595252,2025-07-20 00:07:18.595253
245,7,general_rate,11.0,percentage,2017,,,,"canada 1.9% 20.4% statistics canada (2017) germany 2.2-11.0% (depending on the subsector) 18.3% zew (rammer, fernández",0.7,,2025-07-20 00:07:18.595253,2025-07-20 00:07:18.595254
246,7,general_rate,18.3,percentage,2022,,,,"da (2017) germany 2.2-11.0% (depending on the subsector) 18.3% zew (rammer, fernández and czarnitzki, 2022[13]). germany",0.7,,2025-07-20 00:07:18.595255,2025-07-20 00:07:18.595256
247,7,general_rate,33.0,percentage,2023,,,,"ammer, fernández and czarnitzki, 2022[13]). germany 9.0% 33% destatis (destatis, 2023[14]) sweden 3.5% 22.7% statis",0.7,,2025-07-20 00:07:18.595257,2025-07-20 00:07:18.595258
248,7,general_rate,3.5,percentage,2024,,,,"germany 9.0% 33% destatis (destatis, 2023[14]) sweden 3.5% 22.7% statistics sweden (2024) (data from 2019) note: se",0.7,,2025-07-20 00:07:18.595258,2025-07-20 00:07:18.595259
249,7,general_rate,22.7,percentage,2024,,,,"ny 9.0% 33% destatis (destatis, 2023[14]) sweden 3.5% 22.7% statistics sweden (2024) (data from 2019) note: sectoral",0.7,,2025-07-20 00:07:18.595260,2025-07-20 00:07:18.595261
250,7,general_rate,15.0,percentage,2024,,,,"om 60 countries, the oecd ai observatory shows that around 15% of ai-related policies specifically target small and medium",0.7,,2025-07-20 00:07:18.595262,2025-07-20 00:07:18.595263
251,7,general_rate,4.0,percentage,2024,,,,"arget small and medium-sized enterprises (smes) (with some 4% aiming at large firms) (oecd, 2024[15]). it is unclear how",0.7,,2025-07-20 00:07:18.595264,2025-07-20 00:07:18.595264
252,7,adoption_metric,6.6,percentage,2023,,,,"l firm types found that the overall adoption rate was just 6.6% (zolas et al., 2020[17]). in the european union, a 2023 stu",0.7,,2025-07-20 00:07:18.595265,2025-07-20 00:07:18.595266
253,7,general_rate,8.0,percentage,2024,,,,"nology, both at around 15%. the european union average was 8%. italy and france had shares of 5% and 6%, respectively (eu",0.7,,2025-07-20 00:07:18.595267,2025-07-20 00:07:18.595268
254,7,general_rate,5.0,percentage,2023,,,,"opean union average was 8%. italy and france had shares of 5% and 6%, respectively (eurostat, 2023[18]). a separate stud",0.7,,2025-07-20 00:07:18.595269,2025-07-20 00:07:18.595269
255,7,general_rate,5.8,percentage,2022,,,,"udy in 2019, covering all firms in germany, found that only 5.8% used ai (rammer, fernández and czarnitzki, 2022[13]). in b",0.7,,2025-07-20 00:07:18.595270,2025-07-20 00:07:18.595271
256,7,general_rate,13.0,percentage,2022,,,,"czarnitzki, 2022[13]). in brazil, a 2021 survey showed that 13% of companies use some type of ai (brazilian network inform",0.7,,2025-07-20 00:07:18.595272,2025-07-20 00:07:18.595273
257,7,general_rate,85.0,percentage,2024,,,,r developing a skilled workforce is a common problem. about 85% of firms responding to an eu-wide survey indicated that hi,0.7,,2025-07-20 00:07:18.595274,2025-07-20 00:07:18.595274
258,7,general_rate,70.0,percentage,2024,,,,opt and develop ai. most use several mechanisms. more than 70% of enterprises in both manufacturing and ict report that th,0.7,,2025-07-20 00:07:18.595275,2025-07-20 00:07:18.595276
259,7,general_rate,53.0,percentage,2024,,,,es hire new staff to help develop ai technologies. between 53% and 64% of enterprises use customised systems built by thir,0.7,,2025-07-20 00:07:18.595277,2025-07-20 00:07:18.595278
260,7,general_rate,2.4,percentage,2024,,,,"f turnover) go toward ai-related labour, and the other 27% (2.4% of turnover) go to ai technologies. interestingly, ai expe",0.7,,2025-07-20 00:07:18.595278,2025-07-20 00:07:18.595279
261,7,growth_metric,100.0,percentage,2018,,,,"2018, annual ai patent applications increased by more than 100%, rising from 30 000 to more than 60 000 annually, and that",0.7,,2025-07-20 00:07:18.595280,2025-07-20 00:07:18.595281
262,7,general_rate,1.5,percentage,2018,,,,"ge differences across countries, ranging from a low of just 1.5 % of all firms in korea in 2017 to 11.4 % in france in 2018.",0.7,,2025-07-20 00:07:18.595282,2025-07-20 00:07:18.595283
263,7,adoption_metric,2.8,percentage,2024,,,,"ting ai adoption among manufacturers were lack of capital (2.8%), concerns regarding the technology’s maturity, and lack o",0.7,,2025-07-20 00:07:18.595283,2025-07-20 00:07:18.595284
264,7,general_rate,1.0,percentage,2024,,,,"rprises in the sample – 78% – use such a solution, and only 1% were unfamiliar with the technology (figure 3.8, panel a).",0.7,,2025-07-20 00:07:18.595285,2025-07-20 00:07:18.595286
265,7,general_rate,0.0,percentage,2024,,,,intelligence? • the enterprise does not spend on r&d • 0% • between 1 % and 10% • between 11% and 30% • more th,0.7,,2025-07-20 00:07:18.595287,2025-07-20 00:07:18.595287
266,7,adoption_metric,0.0,percentage,2024,ICT,Canada,Company Size: 50-249,important considerations can 50-249 ict 19 (63.3%) 0 (0.0%) 11 (36.7%) manufacturing 22 (73.3%) 2 (6.7%) 6 (,0.7,,2025-07-20 00:07:18.595288,2025-07-20 00:07:18.595289
