original_id,value,unit,year,current_metric_type,new_metric_type,context_preview,sector,country,company_size,reason,confidence
237,47.0,percentage,2024,general_rate,employment_metric,"ty of computation of over 700 occupations, concluding that 47% of total us employment is attributabl...",,,,Context indicates employment-related metric,0.85
238,9.0,percentage,2022,general_rate,employment_metric,"upations and conclude that across 21 oecd countries, around 9% of jobs are automatable. (lassébie an...",,,,Context indicates employment-related metric,0.85
239,28.0,percentage,2024,general_rate,employment_metric,"ccupations at highest risk of automation account for about 28% of jobs. more recently, in research f...",,,,Context indicates employment-related metric,0.85
240,40.0,percentage,2024,general_rate,employment_metric,ts or replaces job roles. the authors conclude that almost 40% of global employment is exposed to ai...,,,,Context indicates employment-related metric,0.85
241,60.0,percentage,2024,general_rate,employment_metric,"40% of global employment is exposed to ai, rising to around 60% of jobs in advanced economies, owing...",,,,Context indicates employment-related metric,0.85
251,6.6,percentage,2023,general_rate,adoption_metric,"l firm types found that the overall adoption rate was just 6.6% (zolas et al., 2020[17]). in the eur...",,,,Context indicates adoption metric,0.75
260,100.0,percentage,2018,general_rate,growth_metric,"2018, annual ai patent applications increased by more than 100%, rising from 30 000 to more than 60 ...",,,,Context indicates growth metric,0.75
262,2.8,percentage,2024,general_rate,adoption_metric,"ting ai adoption among manufacturers were lack of capital (2.8%), concerns regarding the technology’...",,,,Context indicates adoption metric,0.75
265,0.0,percentage,2024,general_rate,adoption_metric,important considerations can 50-249 ict 19 (63.3%) 0 (0.0%) 11 (36.7%) manufacturing 22 (73.3%) 2 (6...,ICT,Canada,50-249,Sector comparison data - enrich with metadata,0.9
266,0.0,percentage,2024,general_rate,adoption_metric,%) 9 (30.0%) 12 (40.0%) deu 50-249 ict 17 (56.7%) 0 (0.0%) 13 (43.3%) manufacturing 13 (43.3%) 4 (13...,ICT,Germany,50-249,Sector comparison data - enrich with metadata,0.9
267,0.0,percentage,2024,general_rate,adoption_metric,%) 6 (20.0%) 20 (66.7%) fra 50-249 ict 21 (70.0%) 0 (0.0%) 9 (30.0%) manufacturing 26 (86.7%) 0 (0.0...,ICT,France,50-249,Sector comparison data - enrich with metadata,0.9
268,0.0,percentage,2024,general_rate,adoption_metric,%) 0 (0.0%) 9 (30.0%) manufacturing 26 (86.7%) 0 (0.0%) 4 (13.3%) 250+ ict 18 (60.0%) 0 (0.0%) 12 (4...,ICT,,250+,Sector comparison data - enrich with metadata,0.9
269,0.0,percentage,2024,general_rate,adoption_metric,(86.7%) 0 (0.0%) 4 (13.3%) 250+ ict 18 (60.0%) 0 (0.0%) 12 (40.0%) manufacturing 15 (50.0%) 1 (3.3%)...,ICT,,250+,Sector comparison data - enrich with metadata,0.9
270,0.0,percentage,2024,general_rate,adoption_metric,(60.0%) 5 (16.7%) 7 (23.3%) 250+ ict 16 (53.3%) 0 (0.0%) 14 (46.7%) manufacturing 8 (26.7%) 3 (10.0%...,ICT,,250+,Sector comparison data - enrich with metadata,0.9
271,0.0,percentage,2024,general_rate,adoption_metric,%) 3 (10.0%) 19 (63.3%) ita 50-249 ict 14 (46.7%) 0 (0.0%) 16 (53.3%) manufacturing 10 (33.3%) 8 (26...,ICT,Italy,50-249,Sector comparison data - enrich with metadata,0.9
272,0.0,percentage,2024,general_rate,adoption_metric,%) 6 (20.0%) 15 (50.0%) jpn 50-249 ict 19 (63.3%) 0 (0.0%) 11 (36.7%) manufacturing 22 (73.3%) 3 (10...,ICT,Japan,50-249,Sector comparison data - enrich with metadata,0.9
273,0.0,percentage,2024,general_rate,adoption_metric,(73.3%) 3 (10.0%) 5 (16.7%) 250+ ict 25 (83.3%) 0 (0.0%) 5 (16.7%) manufacturing 17 (56.7%) 1 (3.3%)...,ICT,,250+,Sector comparison data - enrich with metadata,0.9
274,0.0,percentage,2024,general_rate,adoption_metric,7%) 1 (3.3%) 12 (40.0%) usa 50-249 ict 19 (63.3%) 0 (0.0%) 11 (36.7%) manufacturing 9 (30.0%) 8 (26....,ICT,,50-249,Sector comparison data - enrich with metadata,0.9
275,0.0,percentage,2020,general_rate,adoption_metric,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13....,ICT,Canada,50-249,Sector comparison data - enrich with metadata,0.9
