original_id,value,unit,year,metric_type,context_preview,reason,kept_record_id,confidence
5497,252.3,billions_usd,2025,investment,nan,Duplicate record (keeping first occurrence),889,0.9
5498,0.01,unknown,2025,carbon_emissions,nan,Duplicate record (keeping first occurrence),890,0.9
5509,10.0,percentage,2025,percentages,"sly skeptical countries, including germany (+10%), france (+10%), canada (+8%), great britain (+8%),...",Duplicate record (keeping first occurrence),5508,0.9
5511,8.0,percentage,2025,percentages,"rmany (+10%), france (+10%), canada (+8%), great britain (+8%), and the united states (+4%). 7. ai b...",Duplicate record (keeping first occurrence),5510,0.9
5514,40.0,percentage,2025,productivity,"ed by 30% annually, while energy efficiency has improved by 40% each year. open-weight models are cl...",Duplicate record (keeping first occurrence),5505,0.9
5515,8.0,percentage,2025,percentages,"ith closed models, reducing the performance difference from 8% to just 1.7% on some benchmarks in a ...",Duplicate record (keeping first occurrence),5510,0.9
5525,90.0,percentage,2024,percentages,"index reports, has only grown more pronounced, with nearly 90% of notable models in 2024 (compared t...",Duplicate record (keeping first occurrence),5520,0.9
5526,60.0,percentage,2024,percentages,"ced, with nearly 90% of notable models in 2024 (compared to 60% in 2023) originating from industry. ...",Duplicate record (keeping first occurrence),5521,0.9
5535,40.0,percentage,2025,productivity,"ping 30% per year, while energy efficiency has increased by 40% annually. 9. carbon emissions from a...",Duplicate record (keeping first occurrence),5505,0.9
5538,8.0,percentage,2025,percentages,sed- weight model outperformed the top open-weight model by 8.0% on the chatbot arena leaderboard. b...,Duplicate record (keeping first occurrence),5510,0.9
5539,1.7,percentage,2025,percentages,"na leaderboard. by february 2025, this gap had narrowed to 1.7%. chapter 1: research and development...",Duplicate record (keeping first occurrence),5516,0.9
5540,11.9,percentage,2025,percentages,"and 10th-ranked model on the chatbot arena leaderboard was 11.9%. by early 2025, this gap had narrow...",Duplicate record (keeping first occurrence),5522,0.9
5541,5.4,percentage,2025,percentages,"erboard was 11.9%. by early 2025, this gap had narrowed to 5.4%. likewise, the difference between th...",Duplicate record (keeping first occurrence),5523,0.9
5565,78.0,percentage,2023,percentages,"pondents reporting ai use by their organizations jumped to 78% from 55% in 2023. similarly, the numb...",Duplicate record (keeping first occurrence),5500,0.9
5570,43.0,percentage,2025,cost,"report cost savings, followed by supply chain management (43%) and software engineering (41%), but m...",Duplicate record (keeping first occurrence),5533,0.9
5572,10.0,percentage,2025,adoption_rate,"ng (41%), but most of them report cost savings of less than 10%. with regard to revenue, 71% of resp...",Duplicate record (keeping first occurrence),5508,0.9
5574,63.0,percentage,2025,adoption_rate,"dents using ai in marketing and sales report revenue gains, 63% in supply chain management, and 57% ...",Duplicate record (keeping first occurrence),5553,0.9
5586,81.0,percentage,2025,adoption_rate,to teach ai but do not feel equipped to do so. despite the 81% of cs teachers who agree that using a...,Duplicate record (keeping first occurrence),5519,0.9
5593,83.0,percentage,2025,percentages,"ffer more benefits than drawbacks in countries like china (83%), indonesia (80%), and thailand (77%)...",Duplicate record (keeping first occurrence),5502,0.9
5594,80.0,percentage,2025,percentages,"s than drawbacks in countries like china (83%), indonesia (80%), and thailand (77%), while only a mi...",Duplicate record (keeping first occurrence),5503,0.9
5595,77.0,percentage,2025,percentages,"countries like china (83%), indonesia (80%), and thailand (77%), while only a minority share this vi...",Duplicate record (keeping first occurrence),5504,0.9
5596,40.0,percentage,2025,percentages,"nd (77%), while only a minority share this view in canada (40%), the united states (39%), and the ne...",Duplicate record (keeping first occurrence),5505,0.9
5597,39.0,percentage,2025,percentages,"nority share this view in canada (40%), the united states (39%), and the netherlands (36%). chapter ...",Duplicate record (keeping first occurrence),5506,0.9
5611,109.1,billions_usd,2024,investment,"lobal ai private investment. u.s. private ai investment hit $109.1 billion in 2024, nearly 12 times ...",Duplicate record (keeping first occurrence),5599,0.9
5613,4.5,billions_usd,2025,dollar_amounts,es higher than china’s $9.3 billion and 24 times the u.k.’s $4.5 billion. the gap is even more prono...,Duplicate record (keeping first occurrence),5601,0.9
5617,2.4,billions_usd,2025,dollar_amounts,"s the world invest in ai infrastructure. canada announced a $2.4 billion ai infrastructure package, ...",Duplicate record (keeping first occurrence),5603,0.9
5618,47.5,billions_usd,2025,dollar_amounts,"billion ai infrastructure package, while china launched a $47.5 billion fund to boost semiconductor ...",Duplicate record (keeping first occurrence),5604,0.9
5620,1.25,billions_usd,2025,dollar_amounts,"committed $117 billion to ai infrastructure, india pledged $1.25 billion, and saudi arabia’s project...",Duplicate record (keeping first occurrence),5605,0.9
5621,100.0,billions_usd,2025,investment,"illion, and saudi arabia’s project transcendence includes a $100 billion investment in ai. 3. across...",Duplicate record (keeping first occurrence),5606,0.9
5622,20.0,usd,2022,dollar_amounts,"mark for assessing language model performance, dropped from $20.00 per million tokens in november 20...",Duplicate record (keeping first occurrence),5607,0.9
5623,0.07,usd,2022,dollar_amounts,ed from $20.00 per million tokens in november 2022 to just $0.07 per million tokens by october 2024 ...,Duplicate record (keeping first occurrence),5608,0.9
5624,20.0,usd,2022,dollar_amounts,"ark for assessing language model performance, dropped from $20 per million tokens in november 2022 t...",Duplicate record (keeping first occurrence),5607,0.9
5625,0.07,usd,2022,dollar_amounts,opped from $20 per million tokens in november 2022 to just $0.07 per million tokens by october 2024 ...,Duplicate record (keeping first occurrence),5608,0.9
5641,10.0,usd,2025,dollar_amounts,"allocated a high- compute budget exceeding the benchmark’s $10,000 limit, it achieved a score of 87....",Duplicate record (keeping first occurrence),5637,0.9
5645,10.0,billions_usd,2025,investment,"al investment into rai. notably, 27% of organizations with $10 billion–$30 billion in revenue and 21...",Duplicate record (keeping first occurrence),5644,0.9
5647,30.0,billions_usd,2025,revenue,billion–$30 billion in revenue and 21% of those exceeding $30 billion invest $10 million–$25 million...,Duplicate record (keeping first occurrence),5646,0.9
5651,252.3,billions_usd,2024,investment,"ecord high with 26% growth. corporate ai investment reached $252.3 billion in 2024, with private inv...",Duplicate record (keeping first occurrence),5609,0.9
5652,33.9,billions_usd,2024,investment,"funding soars. private investment in generative ai reached $33.9 billion in 2024, up 18.7% from 2023...",Duplicate record (keeping first occurrence),5610,0.9
5653,109.1,billions_usd,2024,investment,"lobal ai private investment. u.s. private ai investment hit $109.1 billion in 2024, nearly 12 times ...",Duplicate record (keeping first occurrence),5599,0.9
5654,9.3,billions_usd,2024,dollar_amounts,"109.1 billion in 2024, nearly 12 times higher than china’s $9.3 billion and 24 times the u.k.’s $4.5...",Duplicate record (keeping first occurrence),5612,0.9
5655,4.5,billions_usd,2025,dollar_amounts,es higher than china’s $9.3 billion and 24 times the u.k.’s $4.5 billion. the gap is even more prono...,Duplicate record (keeping first occurrence),5601,0.9
5656,25.4,billions_usd,2023,dollar_amounts,"ined total of china and the european union plus the u.k. by $25.4 billion, expanding on its $21.8 bi...",Duplicate record (keeping first occurrence),5614,0.9
5657,21.8,billions_usd,2023,dollar_amounts,"ean union plus the u.k. by $25.4 billion, expanding on its $21.8 billion gap in 2023. 5. ai is begin...",Duplicate record (keeping first occurrence),5615,0.9
5658,1.6,billions_usd,2025,energy,tracting interest in nuclear energy. microsoft announced a $1.6 billion deal to revive the three mil...,Duplicate record (keeping first occurrence),5616,0.9
5663,650.0,millions_usd,2025,dollar_amounts,"t of inflection ai’s staff, including cofounders, and pays $650 million to license inflection’s ai m...",Duplicate record (keeping first occurrence),5635,0.9
