original_id,value,unit,year,metric_type,context_preview,reason,confidence,proposed_action,kept_record_id
986,6.8,percentage,2024,general_rate,"pting firms may see sales per worker increase between 0 and 6.8%. in this discussion, we also includ...",Reclassify: general_rate → adoption_metric,0.8,MODIFY,
987,50.0,percentage,2024,general_rate,"effects. when applied to the data, this framework explains 50% of the labor share declines across us...",Reclassify: general_rate → employment_metric,0.8,MODIFY,
988,10.0,percentage,2024,general_rate,stimates that ai could reduce 90:10 wage inequality by 5 to 10%. this finding is under the assumptio...,Passed all validation checks,0.85,KEEP,
989,80.0,percentage,2023,general_rate,mage generation. eloundou et al. (2023) estimate that up to 80% of us workforce could have at least ...,Reclassify: general_rate → employment_metric,0.8,MODIFY,
990,19.0,percentage,2024,general_rate,rkforce could have at least 10% of their tasks replaced and 19% of workers stand to lose at least 50...,Reclassify: general_rate → employment_metric,0.8,MODIFY,
991,15.0,percentage,2024,general_rate,of their tasks to llms. this analysis also shows that about 15% of all worker tasks in the us could ...,Reclassify: general_rate → employment_metric,0.8,MODIFY,
992,5.5,percentage,2024,general_rate,h low- and high-income countries. high-income countries see 5.5% of total employment exposed to auto...,Reclassify: general_rate → employment_metric,0.8,MODIFY,
993,13.4,percentage,2024,general_rate,"ries see 5.5% of total employment exposed to automation and 13.4% to augmentation from ai, while the...",Reclassify: general_rate → employment_metric,0.8,MODIFY,
994,0.4,percentage,2024,general_rate,".4% to augmentation from ai, while the same percentages are 0.4% and 10.4% for low-income countries,...",Passed all validation checks,0.85,KEEP,
995,4.0,percentage,2024,general_rate,"gy by occupational group. on average, workers stand to lose 4% of their earnings. this effect stems ...",Reclassify: general_rate → employment_metric,0.8,MODIFY,
996,8.0,percentage,2024,general_rate,"rk, production and transportation stand to lose the most (6-8%), while higher-skilled occupations li...",Passed all validation checks,0.85,KEEP,
997,2.0,percentage,2024,general_rate,nd social service occupations log the lowest losses (around 2%). estimates of aggregate employment i...,Reclassify: general_rate → employment_metric,0.8,MODIFY,
998,25.0,percentage,2023,general_rate,"n, briggs and kodnani (2023) find an employment exposure of 25% for the us, 24% for the euro area, a...",Reclassify: general_rate → employment_metric,0.8,MODIFY,
999,3.0,percentage,2024,general_rate,"egal professional occupations, to 4% in production work and 3% in agriculture. however, when factori...",Passed all validation checks,0.85,KEEP,
1000,17.0,percentage,2024,general_rate,"and professional services industries, as a well as a 13 to 17% salary premium for job postings deman...",Passed all validation checks,0.85,KEEP,
1001,33.0,percentage,2024,general_rate,"23), argue that ai could increase aggregate productivity by 33% over 20 years through its impact on ...",Reclassify: general_rate → productivity_metric,0.8,MODIFY,
1002,11.7,percentage,2024,general_rate,"nland 15.8%, netherlands 13.1%, luxembourg 13% and slovenia 11.7% are the countries with the highest...",Passed all validation checks,0.85,KEEP,
1003,98.0,percentage,2022,general_rate,"ized clienteles, which would 24in 2022, china accounted for 98% of worldwide primary low-purity gall...",Passed all validation checks,0.85,KEEP,
1004,1.5,percentage,2024,general_rate,ure to notify unacceptable applications; and 7.5 million or 1.5% of turnover for less severe cases (...,Passed all validation checks,0.85,KEEP,
1005,11.3,millions_usd,2024,employment_metric,ure of jobs survey covers 803 companies employing more than 11.3 million workers in total. these spa...,Financial units should not appear with employment metrics,0.95,REMOVE,
1006,2024.0,number,2024,unknown_metric,"views of the imf, its executive board, or imf management. 2024 mar © 2024 international monetary fun...",Passed all validation checks,0.85,KEEP,
1007,2023.0,energy_unit,2023,unknown_metric,"bined with an unskilled wage tax cut deliver 9see lassebie (2023), table 5.1 for a complete list. 10...",Citation year extracted as metric value,0.95,REMOVE,
1008,2023.0,percentage,2023,unknown_metric,"ing ai task and occu- pational exposure (briggs and kodnani 2023). in ems, the impact is seen smalle...",Citation year extracted as metric value,0.95,REMOVE,
1009,4.0,percentage,2024,revenue_metric,"4% for low-income countries, respectively",Duplicate record (keeping first occurrence),0.9,REMOVE,995.0
1010,80.0,percentage,2023,labor_metric,"(2023) estimate
that up to 80% of us workforce could have at least 10% of their tasks replaced and ...",Duplicate record (keeping first occurrence),0.9,REMOVE,989.0
1011,10.0,percentage,2023,labor_metric,"(2023) estimate
that up to 80% of us workforce could have at least 10% of their tasks replaced and ...",Passed all validation checks,0.85,KEEP,
1012,19.0,percentage,2023,labor_metric,"(2023) estimate
that up to 80% of us workforce could have at least 10% of their tasks replaced and ...",Passed all validation checks,0.85,KEEP,
1013,50.0,percentage,2023,labor_metric,"(2023) estimate
that up to 80% of us workforce could have at least 10% of their tasks replaced and ...",Passed all validation checks,0.85,KEEP,
1014,8.0,percentage,2024,training_metric,"in terms of skill content, more routine occupations such as office and admin
work, production and t...",Duplicate record (keeping first occurrence),0.9,REMOVE,996.0
1015,2.0,percentage,2024,training_metric,"in terms of skill content, more routine occupations such as office and admin
work, production and t...",Duplicate record (keeping first occurrence),0.9,REMOVE,997.0
1016,16.0,percentage,2030,training_metric,"(2023) offers somewhat smaller estimates,
predicting that 8% of hours currently worked will be auto...",Passed all validation checks,0.85,KEEP,
1017,4.0,percentage,2030,training_metric,"(2023) offers somewhat smaller estimates,
predicting that 8% of hours currently worked will be auto...",Passed all validation checks,0.85,KEEP,
1018,3.0,percentage,2030,training_metric,"(2023) offers somewhat smaller estimates,
predicting that 8% of hours currently worked will be auto...",Passed all validation checks,0.85,KEEP,
1019,2030.0,billions_usd,2030,training_metric,"(2023) offers somewhat smaller estimates,
predicting that 8% of hours currently worked will be auto...",Citation year extracted as metric value,0.95,REMOVE,
1020,1.0,billions_usd,2024,energy_metric,"1
market competition
concern over monopoly power in ai-related sectors permeate the public debate,...",Passed all validation checks,0.85,KEEP,
6042,6.8,percentage,2024,general_rate,"pting firms may see sales per worker increase between 0 and 6.8%. in this discussion, we also includ...",Duplicate record (keeping first occurrence),0.9,REMOVE,986.0
6043,50.0,percentage,2024,general_rate,"effects. when applied to the data, this framework explains 50% of the labor share declines across us...",Duplicate record (keeping first occurrence),0.9,REMOVE,987.0
6044,10.0,percentage,2024,general_rate,stimates that ai could reduce 90:10 wage inequality by 5 to 10%. this finding is under the assumptio...,Duplicate record (keeping first occurrence),0.9,REMOVE,988.0
6045,80.0,percentage,2023,general_rate,mage generation. eloundou et al. (2023) estimate that up to 80% of us workforce could have at least ...,Duplicate record (keeping first occurrence),0.9,REMOVE,989.0
6046,19.0,percentage,2024,general_rate,rkforce could have at least 10% of their tasks replaced and 19% of workers stand to lose at least 50...,Duplicate record (keeping first occurrence),0.9,REMOVE,990.0
