value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
18.0,number,ai_implementation_count,professional_services,"aper studies the impact of artificial intelligence on innovation, exploiting the randomized introduction of a new materials discovery technology to 1,018 scientists in the R D lab of a large U.",0,4,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247813
44.0,percentage,workforce_augmentation,professional_services,"AI-assisted researchers discover 44% more materials, resulting in a 39% increase in patent filings and a 17% rise in downstream product in- novation. These compounds possess more novel c",0,4,0.76,2024,pattern_matching,[],,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247818
44.0,number,workforce_augmentation,professional_services,"AI-assisted researchers discover 44% more materials, resulting in a 39% increase in patent filings and a 17% rise in downstream product in- novation. These compounds possess more novel",0,4,0.76,2024,pattern_matching,[],,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247819
39.0,percentage,workforce_augmentation,professional_services,"AI-assisted researchers discover 44% more materials, resulting in a 39% increase in patent filings and a 17% rise in downstream product in- novation. These compounds possess more novel chemical structures and lead to more",0,4,0.8360000000000001,2024,pattern_matching,[],,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247820
39.0,number,workforce_augmentation,professional_services,"AI-assisted researchers discover 44% more materials, resulting in a 39% increase in patent filings and a 17% rise in downstream product in- novation. These compounds possess more novel chemical structures and lead to mor",0,4,0.8360000000000001,2024,pattern_matching,[],,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247821
17.0,percentage,workforce_augmentation,professional_services,"AI-assisted researchers discover 44% more materials, resulting in a 39% increase in patent filings and a 17% rise in downstream product in- novation. These compounds possess more novel chemical structures and lead to more radical inventions.",0,4,0.8360000000000001,2024,pattern_matching,[],,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247822
17.0,number,workforce_augmentation,professional_services,"AI-assisted researchers discover 44% more materials, resulting in a 39% increase in patent filings and a 17% rise in downstream product in- novation. These compounds possess more novel chemical structures and lead to more radical inventions.",0,4,0.8360000000000001,2024,pattern_matching,[],,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247823
57.0,percentage,ai_adoption_rate,professional_services,"Investigating the mechanisms behind these results, I show that AI automates 57% of  idea-generation  tasks, reallocating researchers to the new task of evaluating model-produced candidate materials.",0,4,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Investigating,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247824
57.0,number,ai_implementation_count,professional_services,"Investigating the mechanisms behind these results, I show that AI automates 57% of  idea-generation  tasks, reallocating researchers to the new task of evaluating model-produced candidate materials.",0,4,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Investigating,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247826
82.0,percentage,ai_adoption_rate,professional_services,"Survey evidence reveals that these gains come at a cost, however, as 82% of scientists report reduced satisfaction with their work due to decreased creativity and skill underutilization.",0,4,0.76,2024,pattern_matching,[],Survey,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247827
82.0,number,job_creation,professional_services,"Survey evidence reveals that these gains come at a cost, however, as 82% of scientists report reduced satisfaction with their work due to decreased creativity and skill underutilization.",0,4,0.76,2024,pattern_matching,[],Survey,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247827
5842.0,number,ai_implementation_count,government_public,"IRB approval for the survey was granted by MIT s Committee on the Use of Humans as Experimental Subjects under ID E-5842. JEL Codes: O31, O32, O33, J24, L65.",0,5,0.6136470588235294,2024,pattern_matching,['Missing required context keywords'],Committee,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247829
31.0,number,ai_implementation_count,government_public,"JEL Codes: O31, O32, O33, J24, L65.  MIT Department of Economics  Email: aidantr mit.edu  Website: aidantr github.io",0,5,0.6136470588235294,2024,pattern_matching,['Missing required context keywords'],Codes,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247830
32.0,number,ai_implementation_count,government_public,"JEL Codes: O31, O32, O33, J24, L65.  MIT Department of Economics  Email: aidantr mit.edu  Website: aidantr github.io",0,5,0.6136470588235294,2024,pattern_matching,['Missing required context keywords'],Codes,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247831
33.0,number,ai_implementation_count,government_public,"JEL Codes: O31, O32, O33, J24, L65.  MIT Department of Economics  Email: aidantr mit.edu  Website: aidantr github.io",0,5,0.6136470588235294,2024,pattern_matching,['Missing required context keywords'],Codes,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",2025-07-24T17:20:04.247832
