value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
10.0,percentage,ai_adoption_rate,professional_services,"Three quarters of companies using GAI report significant time savings and half report a revenue increase of 10% or more. With many companies still at the early stages of their GAI journey, only using GAI tools for certain tasks or departments, the potential wit",1,2,0.8360000000000001,2024,pattern_matching,[],Three,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448545
10.0,count,job_creation,professional_services,"Three quarters of companies using GAI report significant time savings and half report a revenue increase of 10% or more. With many companies still at the early stages of their GAI journey, only using GAI tools for certain tasks or departments, the potential wi",1,2,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Three,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448549
6.6,number,ai_implementation_count,professional_services,"If implemented across all work tasks, GAI could unlock up to $6.6 trillion in productive capacity for businesses in the US, UK, France, Germany, and India.",1,2,0.76,2024,pattern_matching,[],France,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448550
6.0,number,ai_implementation_count,professional_services,"If implemented across all work tasks, GAI could unlock up to $6.6 trillion in productive capacity for businesses in the US, UK, France, Germany, and India.",1,2,0.76,2024,pattern_matching,[],France,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448551
70.0,percentage,rd_investment,unknown,More businesses today are using GAI for innovation and creativity (70%) than to automate repetitive tasks (60%) or simplify processes (54%). Business leaders know that the best ideas happen when technology meets human cr,1,3,0.77,2024,pattern_matching,[],More,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448552
70.0,number,job_creation,unknown,More businesses today are using GAI for innovation and creativity (70%) than to automate repetitive tasks (60%) or simplify processes (54%). Business leaders know that the best ideas happen when technology meets human c,1,3,0.77,2024,pattern_matching,[],More,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448552
60.0,percentage,rd_investment,unknown,More businesses today are using GAI for innovation and creativity (70%) than to automate repetitive tasks (60%) or simplify processes (54%). Business leaders know that the best ideas happen when technology meets human creativity and GAI is fueling an immense d,1,3,0.77,2024,pattern_matching,[],More,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448553
60.0,number,job_creation,unknown,More businesses today are using GAI for innovation and creativity (70%) than to automate repetitive tasks (60%) or simplify processes (54%). Business leaders know that the best ideas happen when technology meets human creativity and GAI is fueling an immense,1,3,0.77,2024,pattern_matching,[],More,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448554
54.0,percentage,rd_investment,unknown,More businesses today are using GAI for innovation and creativity (70%) than to automate repetitive tasks (60%) or simplify processes (54%). Business leaders know that the best ideas happen when technology meets human creativity and GAI is fueling an immense demand for talent: two-thirds,1,3,0.77,2024,pattern_matching,[],More,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448555
54.0,number,job_creation,unknown,More businesses today are using GAI for innovation and creativity (70%) than to automate repetitive tasks (60%) or simplify processes (54%). Business leaders know that the best ideas happen when technology meets human creativity and GAI is fueling an immense demand for talent: two-third,1,3,0.77,2024,pattern_matching,[],More,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448555
90.0,percentage,ai_adoption_rate,unknown,SMBs represent more than 90% of businesses and 50% of workers worldwide. Countries that close the SMB adoption gap stand to gain significant economic benefits.,1,4,0.5599999999999999,2024,pattern_matching,['Outlier compared to other adoption rates'],Countries,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448556
90.0,number,workforce_augmentation,unknown,SMBs represent more than 90% of businesses and 50% of workers worldwide. Countries that close the SMB adoption gap stand to gain significant economic benefits.,1,4,0.7,2024,pattern_matching,[],Countries,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448557
50.0,percentage,ai_adoption_rate,unknown,SMBs represent more than 90% of businesses and 50% of workers worldwide. Countries that close the SMB adoption gap stand to gain significant economic benefits.,1,4,0.7,2024,pattern_matching,[],Countries,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448558
50.0,number,workforce_augmentation,unknown,SMBs represent more than 90% of businesses and 50% of workers worldwide. Countries that close the SMB adoption gap stand to gain significant economic benefits.,1,4,0.7,2024,pattern_matching,[],Countries,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448558
1.0,number,workforce_augmentation,unknown,Small sized businesses are defined as those with fewer than 200 employees and medium sized businesses are defined as those with 200 to,1,8,0.7,2024,pattern_matching,[],Small,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448559
0.0,number,workforce_augmentation,unknown,Small sized businesses are defined as those with fewer than 200 employees and medium sized businesses are defined as those with 200 to 1000 employee,1,8,0.7,2024,pattern_matching,[],Small,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448560
200.0,number,workforce_augmentation,unknown,Small sized businesses are defined as those with fewer than 200 employees and medium sized businesses are defined as those with 200 to 1000 employees.,1,8,0.7,2024,pattern_matching,[],Small,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448562
1000.0,number,workforce_augmentation,unknown,Small sized businesses are defined as those with fewer than 200 employees and medium sized businesses are defined as those with 200 to 1000 employees.,1,8,0.7,2024,pattern_matching,[],Small,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448563
1.0,number,ai_implementation_count,unknown,Chapter 1 The economic imperative: Businesses and governments who adopt GAI will win,2,0,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Chapter,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448564
6.6,count,ai_implementation_count,professional_services,"This means that if businesses implemented GAI throughout their organizations, they could save the equivalent of $6.6 trillion in worker time, which could be reinvested to deliver more innovative products and create more value for customers.",2,5,0.8360000000000001,2024,pattern_matching,[],,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448565
6.0,count,ai_implementation_count,professional_services,"This means that if businesses implemented GAI throughout their organizations, they could save the equivalent of $6.6 trillion in worker time, which could be reinvested to deliver more innovative products and create more value for customers.",2,5,0.8360000000000001,2024,pattern_matching,[],,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448565
6.0,number,job_creation,professional_services,"6 trillion in worker time, which could be reinvested to deliver more innovative products and create more value for customers. Today, however, less than",2,5,0.76,2024,pattern_matching,[],Today,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448566
4.1,number,ai_implementation_count,unknown,"1 trillion in productive capacity, equivalent to 15% of the country s GDP in 2023. The US is followed by Germany ($837 billion or 18% of 2023 GDP), Ind",2,6,0.5599999999999999,2023,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448567
1.0,number,ai_implementation_count,unknown,"1 trillion in productive capacity, equivalent to 15% of the country s GDP in 2023. The US is followed by Germany ($837 billion or 18% of 2023 GDP), Ind",2,6,0.5599999999999999,2023,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448568
15.0,percentage,productivity_improvement,unknown,"1 trillion in productive capacity, equivalent to 15% of the country s GDP in 2023. The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532",2,6,0.77,2023,pattern_matching,[],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448568
15.0,number,ai_implementation_count,unknown,"1 trillion in productive capacity, equivalent to 15% of the country s GDP in 2023. The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532",2,6,0.616,2023,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448569
2023.0,number,ai_implementation_count,unknown,"1 trillion in productive capacity, equivalent to 15% of the country s GDP in 2023. The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP),",2,6,0.616,2023,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448570
837000.0,millions_usd,ai_investment_amount,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448571
837.0,number,ai_implementation_count,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 20",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448572
18.0,percentage,ai_adoption_rate,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448572
18.0,number,ai_implementation_count,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448573
2023.0,number,ai_implementation_count,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448574
621000.0,millions_usd,ai_investment_amount,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448575
621.0,number,ai_implementation_count,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448575
532000.0,millions_usd,ai_investment_amount,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448576
532.0,number,ai_implementation_count,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448577
16.0,percentage,ai_adoption_rate,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448578
16.0,number,ai_implementation_count,unknown,"The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448578
523000.0,millions_usd,ai_investment_amount,unknown,"followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448579
523.0,number,ai_implementation_count,unknown,"ollowed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448580
17.0,percentage,ai_adoption_rate,unknown,"any ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],India,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448581
17.0,number,ai_implementation_count,unknown,"any ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532 billion or 16% of 2023 GDP), and France ($523 billion or 17% of 2023 GDP).",2,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],India,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448581
41.0,percentage,ai_budget_percentage,financial_services,Greater innovation and pr,3,2,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Greater,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448582
41.0,number,ai_implementation_count,financial_services,Greater innovation and p,3,2,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Greater,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448583
35.0,percentage,cost_reduction,financial_services,Greater innovation and productivity in this sector could help countries increase exports and lower the cost of goods for their citizens.,3,2,0.76,2024,pattern_matching,[],Greater,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448584
