value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
80.0,percentage,net_employment_change,unknown,"Our findings reveal that around 80% of the U.S. workforce could have at least 10% of their work tasks affected by the intro- duction of LLMs, while approximately 19% of workers may see",0,13,0.7,2024,pattern_matching,[],,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707414
80.0,number,net_employment_change,unknown,"Our findings reveal that around 80% of the U.S. workforce could have at least 10% of their work tasks affected by the intro- duction of LLMs, while approximately 19% of workers may see",0,13,0.7,2024,pattern_matching,[],,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707419
10.0,percentage,net_employment_change,unknown,"workforce could have at least 10% of their work tasks affected by the intro- duction of LLMs, while approximately 19% of workers may see at least 50% of their tasks im- pacted.",0,13,0.7,2024,pattern_matching,[],,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707420
10.0,number,net_employment_change,unknown,"workforce could have at least 10% of their work tasks affected by the intro- duction of LLMs, while approximately 19% of workers may see at least 50% of their tasks im- pacted.",0,13,0.7,2024,pattern_matching,[],,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707421
19.0,percentage,net_employment_change,unknown,"workforce could have at least 10% of their work tasks affected by the intro- duction of LLMs, while approximately 19% of workers may see at least 50% of their tasks im- pacted.",0,13,0.7,2024,pattern_matching,[],,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707422
19.0,number,net_employment_change,unknown,"workforce could have at least 10% of their work tasks affected by the intro- duction of LLMs, while approximately 19% of workers may see at least 50% of their tasks im- pacted.",0,13,0.7,2024,pattern_matching,[],,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707423
50.0,percentage,net_employment_change,unknown,"workforce could have at least 10% of their work tasks affected by the intro- duction of LLMs, while approximately 19% of workers may see at least 50% of their tasks im- pacted.",0,13,0.7,2024,pattern_matching,[],,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707424
50.0,number,net_employment_change,unknown,"workforce could have at least 10% of their work tasks affected by the intro- duction of LLMs, while approximately 19% of workers may see at least 50% of their tasks im- pacted.",0,13,0.7,2024,pattern_matching,[],,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707424
20.0,number,job_creation,unknown,10130  GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models,0,14,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],An Early Look,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707425
25.0,number,job_creation,unknown,10130  GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models,0,14,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],An Early Look,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707426
