original_id,value,unit,year,metric_type,context_preview,reason,confidence,proposed_action,kept_record_id
84,32.8,percentage,2028,general_rate,"to $749 billion at a compound annual growth rate (cagr) of 32.8% for 2023–2028.1 the next question, ...",Passed all validation checks,0.85,KEEP,
85,56.0,percentage,2024,general_rate,"platforms, data, and infrastructure to get the most value. 56% of organizations say productivity and...",Reclassify: general_rate → productivity_metric,0.8,MODIFY,
86,43.0,percentage,2024,general_rate,th are the two most important business outcomes for ai.1 43% of leaders say productivity use cases a...,Reclassify: general_rate → productivity_metric,0.8,MODIFY,
87,26.0,percentage,2024,general_rate,tivity use cases are providing the greatest roi for ai.1 26% of leaders say industry ai use cases (n...,Passed all validation checks,0.85,KEEP,
88,246.0,billions_usd,2024,financial_metric,"ing to idc, enterprises worldwide were expected to invest $246 billion* in ai solutions—$44 billion ...",Passed all validation checks,0.85,KEEP,
89,44.0,billions_usd,2024,financial_metric,wide were expected to invest $246 billion* in ai solutions—$44 billion in generative ai specifically...,Passed all validation checks,0.85,KEEP,
90,749.0,billions_usd,2024,financial_metric,ifically—in 2024. and this spending is expected to grow to $749 billion at a compound annual growth ...,Passed all validation checks,0.85,KEEP,
91,1.0,billions_usd,2024,financial_metric,"are driving profitability as a result. in fact, for every $1 a company invests in generative ai, the...",Passed all validation checks,0.85,KEEP,
92,1.0,number,2024,employment_metric,nd what you can learn from them to help you: empower the workforce 1 reinvent customer engagement 2 ...,Passed all validation checks,0.85,KEEP,
93,2024.0,number,2024,unknown_metric,ai solutions—$44 billion in generative ai specifically—in 2024. and this spending is expected to gro...,Passed all validation checks,0.85,KEEP,
94,56.0,percentage,2024,productivity_metric,"56%
of organizations say 
productivity and 
top-line growth 
are the two most 
important busine...",Duplicate record (keeping first occurrence),0.9,REMOVE,85.0
95,43.0,percentage,2024,productivity_metric,"1
43%
of leaders say 
productivity use 
cases are providing 
the greatest roi 
for ai",Duplicate record (keeping first occurrence),0.9,REMOVE,86.0
1438,32.8,percentage,2028,general_rate,"to $749 billion at a compound annual growth rate (cagr) of 32.8% for 2023–2028.1 the next question, ...",Duplicate record (keeping first occurrence),0.9,REMOVE,84.0
1439,56.0,percentage,2024,general_rate,"platforms, data, and infrastructure to get the most value. 56% of organizations say productivity and...",Duplicate record (keeping first occurrence),0.9,REMOVE,85.0
1440,43.0,percentage,2024,general_rate,th are the two most important business outcomes for ai.1 43% of leaders say productivity use cases a...,Duplicate record (keeping first occurrence),0.9,REMOVE,86.0
1441,26.0,percentage,2024,general_rate,tivity use cases are providing the greatest roi for ai.1 26% of leaders say industry ai use cases (n...,Duplicate record (keeping first occurrence),0.9,REMOVE,87.0
1442,246.0,billions_usd,2024,financial_metric,"ing to idc, enterprises worldwide were expected to invest $246 billion* in ai solutions—$44 billion ...",Duplicate record (keeping first occurrence),0.9,REMOVE,88.0
