value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
35.0,number,ai_patents_filed,financial_services,hk 12261 fintechchina how-wechat-pay-determines-if-you-are-trustworthy-with-their-credit-score 35 https:  ash.harvard.edu files ash files disciplining_of_a_society_social_disciplining_and_civilizing_processes_in_contemporary_china.,16,5,0.858,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895932,1648
2021.0,count,ai_implementation_count,financial_services,"skills and quality data) to develop AI solutions in cross-functional teams (Jöhnk, Weißert, and Wyrtki 2021). The fact that public organizations frequently struggle with radical organizational and cultural changes underscores their importance (Mergel, Ganap",7,0,0.8433333333333334,2024,pattern_matching,[],Wyrtki,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703130,6249
50.0,number,workforce_augmentation,financial_services,"26 Specifically, the Brookings analysis suggests 30% of all workers could see at least 50% of their occupation s tasks disrupted by generative AI in the coming years, with higher  exposure  levels for higher-skill computer and office activ",40,4,0.8360000000000001,2024,pattern_matching,[],Specifically,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576915,10653
7.0,percentage,productivity_improvement,financial_services,"As tools using advances in natural language processing work their way into businesses and society, they could drive a 7% (or almost $7 trillion) increase in global GDP and lift productivity growth by 1.",0,4,0.8360000000000001,2024,pattern_matching,[],,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661797,8070
1.0,number,ai_implementation_count,financial_services,"dition to including topics directly related to these society-facing applications that resulted from the aforementioned workshops (as represented by WQ1 and WQ2 of this report), the Standing Committee carefully considered how to launch the Study Panel for the second report in such a way that it would",1,2,0.8360000000000001,2024,pattern_matching,[],Standing Committee,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895801,1484
254.0,number,net_employment_change,financial_services,"can be produced by a given amount of economic inputs  grew at an exceptionally slow rate during the 2010s, both in the US and in many other countries,254 suggesting job growth was weak because economic growth was weak, not because technology was eliminating jobs.",56,3,0.8360000000000001,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896589,2513
2.0,number,ai_implementation_count,financial_services,"o including topics directly related to these society-facing applications that resulted from the aforementioned workshops (as represented by WQ1 and WQ2 of this report), the Standing Committee carefully considered how to launch the Study Panel for the second report in such a way that it would set a pr",1,2,0.8360000000000001,2024,pattern_matching,[],Standing Committee,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895802,1485
52.0,percentage,ai_adoption_rate,financial_services,"According to Access Partnership s research, out of the businesses that have started adopting GAI more than half (52%) plan to increase hiring for technical roles, citing the need to adopt, implement, and integrate AI into applications to transform their operations a",12,2,0.8360000000000001,2024,pattern_matching,[],Access Partnership,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448656,1387
52.0,number,ai_implementation_count,financial_services,"According to Access Partnership s research, out of the businesses that have started adopting GAI more than half (52%) plan to increase hiring for technical roles, citing the need to adopt, implement, and integrate AI into applications to transform their operations",12,2,0.8360000000000001,2024,pattern_matching,[],Access Partnership,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448657,1388
2020.0,number,workforce_augmentation,financial_services,"2020). In the organizational dimension, the framework includes culture (namely top management support), change management, and innovative culture, organiz",7,0,0.7666666666666666,2024,pattern_matching,[],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703130,6248
2004.0,number,ai_implementation_count,financial_services,"2004), the mechanisms behind the factor compatibility mainly pertain to complications in the interplay with existing systems, whereby lack of compatibilit",7,0,0.7666666666666666,2024,pattern_matching,[],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703129,6247
2018.0,number,ai_patents_filed,financial_services,"e of these places are breakout spots: Nashville, Providence, and College Station, Texas have more than doubled or tripled their AI job postings since 2018.",28,7,0.76,2024,pattern_matching,[],Nashville,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576770,10439
35.0,percentage,cost_reduction,financial_services,Greater innovation and productivity in this sector could help countries increase exports and lower the cost of goods for their citizens.,3,2,0.76,2024,pattern_matching,[],Greater,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448584,1290
2.0,number,ai_patents_filed,financial_services,"1016 j.giq.2018.10.001. Ansoff, H. Igor, Rick Ansoff, Roxanne Helm-Stevens, Daniel Kipley, and A. O. Lewis. 2019. Implanting",22,13,0.76,2024,pattern_matching,[],Ansoff,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703232,6376
358.0,number,ai_patents_filed,financial_services,"1016 j.giq.2018.10.001. Ansoff, H. Igor, Rick Ansoff, Roxanne Helm-Stevens, Daniel Kipley, and A. O. Lewis. 2019. Implanting",22,13,0.76,2024,pattern_matching,[],Ansoff,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703233,6377
367.0,number,ai_patents_filed,financial_services,"1016 j.giq.2018.10.001. Ansoff, H. Igor, Rick Ansoff, Roxanne Helm-Stevens, Daniel Kipley, and A. O. Lewis. 2019. Implanting",22,13,0.76,2024,pattern_matching,[],Ansoff,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703233,6378
10.1016,number,ai_patents_filed,financial_services,"1016 j.giq.2018.10.001. Ansoff, H. Igor, Rick Ansoff, Roxanne Helm-Stevens, Daniel Kipley, and A. O. Lewis. 2019. Implanting",22,13,0.76,2024,pattern_matching,[],Ansoff,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703234,6379
