value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
23.0,number,ai_implementation_count,professional_services,The OECD Boston Consulting Group INSEAD survey conducted among 840 enterprises in the Group of Seven (G7) countries in 2022-23 examines how the policy environment supports (or can support) enterprises attempting to adopt and or develop AI applications.,100,6,0.8723,2022,pattern_matching,[],Boston Consulting Group,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834847,5329
2022.0,number,ai_implementation_count,professional_services,The OECD Boston Consulting Group INSEAD survey conducted among 840 enterprises in the Group of Seven (G7) countries in 2022-23 examines how the policy environment supports (or can support) enterprises attempting to adopt and or develop AI applications.,100,6,0.8723,2022,pattern_matching,[],Boston Consulting Group,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834846,5328
7.0,number,ai_implementation_count,professional_services,The OECD Boston Consulting Group INSEAD survey conducted among 840 enterprises in the Group of Seven (G7) countries in 2022-23 examines how the policy environment supports (or can support) enterprises attempting to adopt and or develop AI applications.,100,6,0.8723,2022,pattern_matching,[],Boston Consulting Group,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834846,5327
840.0,number,workforce_augmentation,professional_services,The OECD Boston Consulting Group INSEAD survey conducted among 840 enterprises in the Group of Seven (G7) countries in 2022-23 examines how the policy environment supports (or can support) enterprises attempting to a,100,6,0.8723,2022,pattern_matching,[],Boston Consulting Group,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834839,5326
2023.0,number,ai_implementation_count,professional_services,The survey in G7 countries was conducted between November 2022 and January 2023. The survey in Brazil was implemented between February and July 2023. Complementary insights came from structured interviews with leaders of 19 major,14,6,0.8723,2024,pattern_matching,[],November,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834080,4308
9.0,number,ai_implementation_count,professional_services,"org publications the-state-of-implementation-of-the-oecd-ai-principles-four-years-on-835641c9-en. htm 124Data and methodology are publicly available. The survey covers several fields: Computer science, Physical sciences, Life sciences, Health",46,29,0.8723,2024,pattern_matching,[],Computer,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763607,12724
25.0,percentage,productivity_improvement,professional_services,(2023) finds that productivity on 18 tasks designed to mimic the day-to-day work at a consulting company increased by 12% 25%. Evidence from these experiments generally suggests significant productivity gains from generative AI.,2,0,0.8723,2024,pattern_matching,[],Evidence,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779181,484
12.0,percentage,productivity_improvement,professional_services,(2023) finds that productivity on 18 tasks designed to mimic the day-to-day work at a consulting company increased by 12% 25%. Evidence from these experiments generally suggests significant productivity gains from generative AI.,2,0,0.8723,2024,pattern_matching,[],Evidence,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779179,482
2022.0,number,ai_implementation_count,professional_services,The survey in G7 countries was conducted between November 2022 and January 2023. The survey in Brazil was implemented between February and July 2023. Complementary insights came from structured interviews with le,14,6,0.8723,2024,pattern_matching,[],November,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834080,4307
23.0,count,net_employment_change,professional_services,"This chapter reports the overall findings of the OECD Boston Consulting Group INSEAD study, conducted in 2022-23, that explored the adoption of artificial intelligence in firms and how governments can support this.",13,3,0.8723,2022,pattern_matching,[],Boston Consulting Group,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834079,4306
2022.0,count,net_employment_change,professional_services,"This chapter reports the overall findings of the OECD Boston Consulting Group INSEAD study, conducted in 2022-23, that explored the adoption of artificial intelligence in firms and how governments can support this.",13,3,0.8723,2022,pattern_matching,[],Boston Consulting Group,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834078,4305
50.0,number,workforce_augmentation,professional_services,") countries, two economic sectors (manufacturing and information and communications technology  ICT  services), and two enterprise size classes (from 50 to 249 employees and from 250 employees upwards).",66,5,0.8723,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834647,5063
19.0,number,workforce_augmentation,professional_services,"During 2020, robotics development was driven in part by the need to support social distancing during the COVID-19 pandemic. Predicted rapid progress in fully autonomous driving failed to materialize, but autonomous vehicles have begun operating in selected locale",6,3,0.8524999999999999,2020,pattern_matching,[],During,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895822,1510
500.0,count,workforce_augmentation,professional_services,"In the United States, SMEs include firms with fewer than 500 employees. Nevertheless, selection criteria based on enterprise turnover were not used in the OECD BCG INSEAD survey, as requests for such information could di",21,5,0.8524999999999999,2024,pattern_matching,[],United States,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834168,4412
2021.0,number,ai_implementation_count,professional_services,"finding the best solution to a problem) (Russell and Norvig 2021). In a specific area, AI might outperform humans, but it is  unable to autonomously solve problems in other areas  (Kaplan and Haenlein 2019), so is",3,3,0.8524999999999999,2019,pattern_matching,[],Russell,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703091,6200
19.0,number,job_creation,professional_services,"ss their impacts 305 Should models be given expiration dates to ensure that they are not creating predictions that are hopelessly outdated  The COVID-19 pandemic is a highly visible example of how changing conditions invalidate models patterns of product demands, highway traffic306, stock market trend",65,3,0.8524999999999999,2024,pattern_matching,[],Should,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896748,2729
305.0,number,ai_implementation_count,professional_services,"A related governance concern is how change will be managed: How, when, and by whom should systems be audited to assess their impacts 305 Should models be given expiration dates to ensure that they are not creating predictions that are hopelessly outdated  The COVID-19 pandemic is a hig",65,3,0.8524999999999999,2024,pattern_matching,[],Should,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896747,2728
7.0,number,ai_implementation_count,professional_services,"military applications were outside the scope of the first report  and while military AI is used as a key case study in one section of this report (SQ7), vigorous discussions of the subject are still continuing worldwide and opinions are evolving.",2,1,0.8524999999999999,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895805,1489
16.0,number,net_employment_change,professional_services,"7 trillion between 2018 and 2030, with varying regional impacts  16 . Eisfeldt et al.  17  constructed a firm-level measure of workforce exposure to AI in the US and studied the impact of ChatGPT s release on equity r",2,7,0.8360000000000001,2024,pattern_matching,[],Eisfeldt,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815818,3587
43.0,percentage,workforce_augmentation,professional_services,"US enterprises are lagging in the utilisation of advanced technologies, which is concerning when companies with under 500 employees contribute around 43% of US gross domestic product (GDP) (Kobe and Richard, 2018 8 ).",51,8,0.8360000000000001,2024,pattern_matching,[],Kobe,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834427,4757
43.0,count,workforce_augmentation,professional_services,"US enterprises are lagging in the utilisation of advanced technologies, which is concerning when companies with under 500 employees contribute around 43% of US gross domestic product (GDP) (Kobe and Richard, 2018 8 ).",51,8,0.8360000000000001,2024,pattern_matching,[],Kobe,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834428,4758
0.0,count,ai_implementation_count,professional_services,"When SMBs   or companies with fewer than 1,000 employees   have implemented GAI technology, they may be making better use of it than large firms. SMBs are more likely to use GAI tools for innovative tasks l",8,3,0.8360000000000001,2024,pattern_matching,[],When,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448617,1334
5162.0,number,job_displacement,professional_services,"org press 2020 10 recession-and-automation-changes-our-future-of-work-but-there-are-jobs-coming-report-says-52c5162fce , https:  www.theguardian.com technology 2020 nov 27 robots-replacing-jobs-automation-unemployment-us 269 http:  www3.",58,3,0.8360000000000001,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896640,2583
2024.0,number,workforce_augmentation,professional_services,"com en insights articles how-ai-tools-impact-business-operations-and-employee-productivity (accessed on 10 September 2024). 28. McCaslin, T. Measuring AI Effectiveness Beyond Developer Productivity Metrics.",28,1,0.8360000000000001,2024,pattern_matching,[],September,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.816206,4038
512.0,number,ai_implementation_count,professional_services,"There were 840 observations for the applications  Product design  and  R D  and 512 for  Other core use . The two asterisks (  ) and single asterisk ( ) signify statistical significance at the 5% and 10% levels, respectively.",73,11,0.8360000000000001,2024,pattern_matching,[],There,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834671,5096
5.0,percentage,ai_adoption_rate,professional_services,"The two asterisks (  ) and single asterisk ( ) signify statistical significance at the 5% and 10% levels, respectively. Source: OECD (2022-23 1 ). 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises.",73,11,0.8360000000000001,2024,pattern_matching,[],Source,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834672,5097
10.0,percentage,ai_adoption_rate,professional_services,"The two asterisks (  ) and single asterisk ( ) signify statistical significance at the 5% and 10% levels, respectively. Source: OECD (2022-23 1 ). 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises.",73,11,0.8360000000000001,2024,pattern_matching,[],Source,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834673,5099
3.0,number,net_employment_change,professional_services,"res from (Webb,, 2020) are also positive and statistically significant at a 5% level, but our secondary prompt on overall exposure to LLMs in columns 3 and 4 does not exhibit a statistically significant re- lationship.",26,0,0.8360000000000001,2024,pattern_matching,[],Webb,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707700,11662
4.0,number,net_employment_change,professional_services,"om (Webb,, 2020) are also positive and statistically significant at a 5% level, but our secondary prompt on overall exposure to LLMs in columns 3 and 4 does not exhibit a statistically significant re- lationship.",26,0,0.8360000000000001,2024,pattern_matching,[],Webb,the-economic-impact-of-large-language-models.pdf,2025-07-24T17:20:40.707702,11663
109.0,number,ai_implementation_count,professional_services,"The use of intrinsic motivation has a long history in reinforcement learning,109 but in the last few years it has been used as a strategy for more general reinforcement-learning systems designed to perform multitask learning or co",31,1,0.8360000000000001,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896167,1955
21.0,percentage,productivity_improvement,professional_services,"ditional on adoption between junior and senior developers in Figure 4(b), and we see in Figure 6(b) that ju- nior developers increase their output by 21% to 40% while senior developers have more marginal gains of 7% to 16%.",18,0,0.8360000000000001,2024,pattern_matching,[],Figure,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779397,775
40.0,percentage,productivity_improvement,professional_services,"l on adoption between junior and senior developers in Figure 4(b), and we see in Figure 6(b) that ju- nior developers increase their output by 21% to 40% while senior developers have more marginal gains of 7% to 16%.",18,0,0.8360000000000001,2024,pattern_matching,[],Figure,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779398,777
1.0,count,workforce_augmentation,professional_services,"The use rate in the 100-299-employee size class is half the rate of the group with 1 000 to 1 999 employees (10% and 22%, respectively). Similarly, the rate of AI use in the group of firms with 1 000 to 1 999 employees is less than ha",48,9,0.8360000000000001,2024,pattern_matching,[],Similarly,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834365,4670
100.0,number,ai_implementation_count,professional_services,"Key findings from the USPTO research include that, in the 16 years from 2002 to 2018, annual AI patent applications increased by more than 100%, rising from 30 000 to more than 60 000 annually, and that over the same period, the share of all patent applications that contain AI grew from 9% t",52,9,0.8360000000000001,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834443,4778
30.0,number,ai_implementation_count,professional_services,"dings from the USPTO research include that, in the 16 years from 2002 to 2018, annual AI patent applications increased by more than 100%, rising from 30 000 to more than 60 000 annually, and that over the same period, the share of all patent applications that contain AI grew from 9% to nearly 16%.",52,9,0.8360000000000001,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834443,4779
0.0,number,ai_implementation_count,professional_services,"gs from the USPTO research include that, in the 16 years from 2002 to 2018, annual AI patent applications increased by more than 100%, rising from 30 000 to more than 60 000 annually, and that over the same period, the share of all patent applications that contain AI grew from 9% to nearly 16%.",52,9,0.8360000000000001,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834444,4780
500.0,millions_usd,revenue_increase,professional_services,"hose organizations use AI report that their CEO is responsible for overseeing AI governance, though the share is smaller at larger organizations with $500 million or more in annual revenues, and 17 percent say AI governance is overseen by their board of directors.",2,1,0.8360000000000001,2024,pattern_matching,[],,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963358,11977
2.0,count,job_creation,professional_services,doption for European companies were: 1) difficulties hiring staff with the right skills (57% of surveyed establishments reporting this as a barrier)  2) cost of adoption (52%)  and 3) cost of adapting operational processes (49%).,56,8,0.8360000000000001,2024,pattern_matching,[],European,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834528,4898
2023.0,number,ai_implementation_count,professional_services,", 2018b, Acemoglu, 2021, Trammell and Korinek, 2023, Hering, 2023, Comunale and Manera, 2024, Maslej et al., 2024 . Despite the importance of anticipating and preparing for these changes, we lack systematic empirica",0,8,0.8360000000000001,2024,pattern_matching,[],Acemoglu,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192274,5834
2024.0,number,ai_implementation_count,professional_services,", 2018b, Acemoglu, 2021, Trammell and Korinek, 2023, Hering, 2023, Comunale and Manera, 2024, Maslej et al., 2024 . Despite the importance of anticipating and preparing for these changes, we lack systematic empirical evidence about how AI sys",0,8,0.8360000000000001,2024,pattern_matching,[],Acemoglu,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192275,5835
36.0,percentage,ai_adoption_rate,professional_services,"While our empirical usage data shows lower current adoption ( 36% of occupations using AI for at least a quarter of their tasks), the patterns of usage across tasks largely align with their predictions, particularly",3,1,0.8360000000000001,2024,pattern_matching,[],While,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192310,5873
27.0,percentage,productivity_improvement,professional_services,"lly significant at conventional levels, the pattern persists across all three main outcome measures: short-tenure developers increase their output by 27% to 39% while long-tenure developers experience smaller gains of 8% to 13%.",18,0,0.8360000000000001,2024,pattern_matching,[],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779391,767
