value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
1787.0,number,ai_implementation_count,unknown,1787 f9ef33c3-en.,3,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833876
978.0,number,ai_implementation_count,unknown,ISBN 978-92-64-80375-6 (print) ISBN 978-92-64-57040-5 (PDF) ISBN 978-92-64-35426-5 (HTML),3,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833881
92.0,number,ai_implementation_count,unknown,ISBN 978-92-64-80375-6 (print) ISBN 978-92-64-57040-5 (PDF) ISBN 978-92-64-35426-5 (HTML),3,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833881
64.0,number,ai_implementation_count,unknown,ISBN 978-92-64-80375-6 (print) ISBN 978-92-64-57040-5 (PDF) ISBN 978-92-64-35426-5 (HTML),3,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833882
80375.0,number,ai_implementation_count,unknown,ISBN 978-92-64-80375-6 (print) ISBN 978-92-64-57040-5 (PDF) ISBN 978-92-64-35426-5 (HTML),3,6,0.39199999999999996,2024,pattern_matching,"['Value 80375.0 outside typical range [0, 10000]', 'Missing required context keywords']",,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833883
57040.0,number,ai_implementation_count,unknown,ISBN 978-92-64-80375-6 (print) ISBN 978-92-64-57040-5 (PDF) ISBN 978-92-64-35426-5 (HTML),3,6,0.39199999999999996,2024,pattern_matching,"['Value 57040.0 outside typical range [0, 10000]', 'Missing required context keywords']",,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833884
35426.0,number,ai_implementation_count,unknown,ISBN 978-92-64-80375-6 (print) ISBN 978-92-64-57040-5 (PDF) ISBN 978-92-64-35426-5 (HTML),3,6,0.39199999999999996,2024,pattern_matching,"['Value 35426.0 outside typical range [0, 10000]', 'Missing required context keywords']",,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833885
2025.0,number,ai_implementation_count,unknown,OECD BCG INSEAD 2025,3,9,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833886
0.0,number,ai_implementation_count,unknown,"By using this work, you accept to be bound by the term",3,10,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833887
4.0,number,job_creation,unknown,"By using this work, you accept to be bound by the terms of this licence (https:  creativecommons.org licenses by 4.0 ). Attrib",3,10,0.7,2024,pattern_matching,[],Attrib,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833888
0.0,number,job_creation,unknown,"By using this work, you accept to be bound by the terms of this licence (https:  creativecommons.org licenses by 4.0 ). Attrib",3,10,0.7,2024,pattern_matching,[],Attrib,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833888
2012.0,number,ai_implementation_count,unknown,Any dispute arising under this licence shall be settled by arbitration in accordance with the Permanent Court of Arbitration (PCA) Arbitration Rules 2012.,3,10,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Permanent Court,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833889
2025.0,count,ai_implementation_count,unknown,THE ADOPTION OF ARTIFICIAL INTELLIGENCE IN FIRMS   OECD BCG INSEAD 2025,4,1,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833890
2.0,count,ai_implementation_count,unknown,2 An overview of prior research on the diffusion of artificial intelligence in firms 45,6,8,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833891
45.0,count,ai_implementation_count,unknown,2 An overview of prior research on the diffusion of artificial intelligence in firms 45,6,8,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833892
0.003,millions_usd,cost_reduction,professional_services,3 Key findings from the 2022-23 OECD BCG INSEAD Survey of AI-Adopting,6,9,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Survey,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833893
4.0,number,workforce_augmentation,unknown,4 The goals and practices of institutions supporting the diffusion of artificial,6,11,0.7,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833893
98.0,count,ai_implementation_count,unknown,intelligence in firms 98,6,12,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833894
5.0,count,ai_implementation_count,unknown,5 Findings from interviews with firms adopting artificial intelligence 123,6,13,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Findings,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833895
123.0,count,ai_implementation_count,unknown,5 Findings from interviews with firms adopting artificial intelligence 123,6,13,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Findings,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833896
147.0,number,ai_implementation_count,professional_services,Comparisons among recent AI surveys 147,6,15,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Comparisons,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833897
151.0,number,ai_implementation_count,unknown,Mapping ISIC and national industry classification systems 151,6,16,0.7,2024,pattern_matching,[],Mapping,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833897
152.0,number,ai_implementation_count,professional_services,The OECD BCG INSEAD survey questionnaire 152,6,17,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833898
158.0,number,ai_implementation_count,education,Implementation and the survey s statistical features and limitations 158,6,18,0.76,2024,pattern_matching,[],Implementation,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833899
162.0,number,ai_implementation_count,unknown,Adopting Enterprises 162,6,20,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Adopting Enterprises,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833900
189.0,number,ai_implementation_count,unknown,"Predictive margins of AI use, by application and country 189",6,21,0.7,2024,pattern_matching,[],Predictive,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833901
191.0,number,ai_implementation_count,unknown,selected public sector services 191,7,3,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833901
193.0,number,ai_implementation_count,unknown,Interview questions 193,7,4,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Interview,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833902
16.0,count,ai_implementation_count,education,Share of firms in manufacturing and ICT that use AI (selected national surveys umber of survey) 19 Table 1.3. Diffusion mechanisms (in blu,7,6,0.6589538461538461,2024,pattern_matching,['Missing required context keywords'],Share,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833903
19.0,count,ai_implementation_count,education,Share of firms in manufacturing and ICT that use AI (selected national surveys umber of survey) 19 Table 1.3. Diffusion mechanisms (in blue) used by selected technology diffusion institutions 30 Table 2.,7,6,0.7248492307692308,2024,pattern_matching,['Missing required context keywords'],Share,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833904
1.3,count,ai_implementation_count,education,Share of firms in manufacturing and ICT that use AI (selected national surveys umber of survey) 19 Table 1.3. Diffusion mechanisms (in blue) used by selected technology diffusion institutions 30 Table 2.,7,6,0.7248492307692308,2024,pattern_matching,['Missing required context keywords'],Share,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833905
18.0,count,ai_implementation_count,education,"Share of businesses using AI technology in Denmark (2019), France (2018) and Korea (2017-18) 54 Table 2.2. Most common barriers to AI adoption in companies in the European Union and selected countries, 2020 55 Table 3.",7,6,0.7248492307692308,2024,pattern_matching,['Missing required context keywords'],Share,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833906
2.0,count,ai_implementation_count,education,"2. Most common barriers to AI adoption in companies in the European Union and selected countries, 2020 55 Table 3.1. The 11 applications of AI consider",7,6,0.8236923076923076,2024,pattern_matching,[],Most,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833906
2020.0,count,ai_implementation_count,education,"Most common barriers to AI adoption in companies in the European Union and selected countries, 2020 55 Table 3.1. The 11 applications of AI considered in the 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises 67 Table 3.",7,6,0.9060615384615385,2024,pattern_matching,[],Most,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833907
55.0,count,ai_implementation_count,education,"Most common barriers to AI adoption in companies in the European Union and selected countries, 2020 55 Table 3.1. The 11 applications of AI considered in the 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises 67 Table 3.",7,6,0.9060615384615385,2024,pattern_matching,[],Most,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833908
3.1,count,ai_implementation_count,education,"Most common barriers to AI adoption in companies in the European Union and selected countries, 2020 55 Table 3.1. The 11 applications of AI considered in the 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises 67 Table 3.",7,6,0.9060615384615385,2024,pattern_matching,[],Most,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833909
1.0,number,ai_implementation_count,education,1. The 11 applications of AI considered in the 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises 67 Table 3.2. Average number of active AI uses,7,6,0.8236923076923076,2024,pattern_matching,[],Survey,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833909
11.0,number,ai_implementation_count,education,The 11 applications of AI considered in the 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises 67 Table 3.2. Average number of active AI uses across,7,6,0.8236923076923076,2024,pattern_matching,[],Survey,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833910
23.0,number,ai_implementation_count,education,"The 11 applications of AI considered in the 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises 67 Table 3.2. Average number of active AI uses across 840 enterprises by G7 country and industry, 2",7,6,0.9060615384615385,2024,pattern_matching,[],Survey,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833911
67.0,number,ai_implementation_count,education,"The 11 applications of AI considered in the 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises 67 Table 3.2. Average number of active AI uses across 840 enterprises by G7 country and industry, 2022-23 71 Table 3.",7,6,0.9060615384615385,2024,pattern_matching,[],Survey,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833912
3.2,number,ai_implementation_count,education,"The 11 applications of AI considered in the 2022-23 OECD BCG INSEAD Survey of AI-Adopting Enterprises 67 Table 3.2. Average number of active AI uses across 840 enterprises by G7 country and industry, 2022-23 71 Table 3.",7,6,0.9060615384615385,2024,pattern_matching,[],Survey,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833912
7.0,number,ai_implementation_count,education,"Average number of active AI uses across 840 enterprises by G7 country and industry, 2022-23 71 Table 3.3. Enterprise size and the probability of adopting an AI application across 840 enterprises in G7 countries,",7,6,0.9060615384615385,2024,pattern_matching,[],Average,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.833913
