id,source_id,extraction_type,status,metrics_extracted,statistics_found,error_message,extraction_time_seconds,started_at,completed_at
1,1,batch_import,success,33,0,,,2025-07-20 00:07:18.514757,2025-07-20 00:07:18.510350
2,2,batch_import,success,51,0,,,2025-07-20 00:07:18.527731,2025-07-20 00:07:18.526029
3,3,batch_import,success,12,0,,,2025-07-20 00:07:18.534187,2025-07-20 00:07:18.533421
4,4,batch_import,success,76,0,,,2025-07-20 00:07:18.544034,2025-07-20 00:07:18.541580
5,5,batch_import,success,23,0,,,2025-07-20 00:07:18.554746,2025-07-20 00:07:18.553683
6,6,batch_import,success,42,0,,,2025-07-20 00:07:18.565599,2025-07-20 00:07:18.564101
7,7,batch_import,success,550,0,,,2025-07-20 00:07:18.606437,2025-07-20 00:07:18.586945
8,8,batch_import,success,4,0,,,2025-07-20 00:07:18.618583,2025-07-20 00:07:18.617928
9,9,batch_import,success,30,0,,,2025-07-20 00:07:18.626466,2025-07-20 00:07:18.624809
10,10,batch_import,success,43,0,,,2025-07-20 00:07:18.643814,2025-07-20 00:07:18.641847
11,11,batch_import,success,25,0,,,2025-07-20 00:07:18.651375,2025-07-20 00:07:18.650114
12,12,batch_import,success,2,0,,,2025-07-20 00:07:18.665403,2025-07-20 00:07:18.664883
13,13,batch_import,success,53,0,,,2025-07-20 00:07:18.673961,2025-07-20 00:07:18.671976
14,14,batch_import,success,9,0,,,2025-07-20 00:07:18.681944,2025-07-20 00:07:18.681197
15,15,batch_import,success,33,0,,,2025-07-20 00:07:18.689713,2025-07-20 00:07:18.688293
16,16,batch_import,success,35,0,,,2025-07-20 00:07:18.698404,2025-07-20 00:07:18.696771
17,17,batch_import,success,124,0,,,2025-07-20 00:07:18.710312,2025-07-20 00:07:18.705768
18,1,batch_import,success,134,0,,,2025-07-20 00:07:18.723212,2025-07-20 00:07:18.716736
19,2,batch_import,success,159,0,,,2025-07-20 00:07:18.736382,2025-07-20 00:07:18.729816
20,3,batch_import,success,22,0,,,2025-07-20 00:07:18.746953,2025-07-20 00:07:18.743258
21,4,batch_import,success,194,0,,,2025-07-20 00:07:18.768610,2025-07-20 00:07:18.754241
22,5,batch_import,success,40,0,,,2025-07-20 00:07:18.778611,2025-07-20 00:07:18.775630
23,17,batch_import,success,2554,0,,,2025-07-20 00:07:19.047376,2025-07-20 00:07:18.845239
24,18,batch_import,success,101,0,,,2025-07-20 00:07:19.084435,2025-07-20 00:07:19.081600
25,6,batch_import,success,145,0,,,2025-07-20 00:07:19.099204,2025-07-20 00:07:19.092183
26,7,batch_import,success,686,0,,,2025-07-20 00:07:19.173746,2025-07-20 00:07:19.117196
27,19,batch_import,success,59,0,,,2025-07-20 00:07:19.187310,2025-07-20 00:07:19.184664
28,8,batch_import,success,6,0,,,2025-07-20 00:07:19.195353,2025-07-20 00:07:19.192133
29,9,batch_import,success,90,0,,,2025-07-20 00:07:19.205430,2025-07-20 00:07:19.200942
30,10,batch_import,success,106,0,,,2025-07-20 00:07:19.218803,2025-07-20 00:07:19.213134
31,11,batch_import,success,56,0,,,2025-07-20 00:07:19.230655,2025-07-20 00:07:19.225297
32,12,batch_import,success,227,0,,,2025-07-20 00:07:19.252188,2025-07-20 00:07:19.240049
33,20,batch_import,success,18,0,,,2025-07-20 00:07:19.265968,2025-07-20 00:07:19.264730
34,13,batch_import,success,184,0,,,2025-07-20 00:07:19.281260,2025-07-20 00:07:19.273326
