timestamp,source_id,source_name,total_records,kept_records,removed_records,modified_records,removal_rate,modification_rate,quality_score,top_removal_reason,top_removal_count,duplicate_groups,duplicates_removed,schema_version,notes
2025-07-23T13:41:12.803778,1,Affects of GenAI on Highskilled Work.pdf,334,80,249,5,74.55,1.5,24.7,Duplicate record,244,87,247,1.1,
2025-07-23T13:45:27.188567,2,AI strategy.pdf,420,71,336,13,80.0,3.1,18.45,Duplicate record,336,84,336,1.1,
2025-07-23T13:45:29.658896,3,AI use case.pdf,68,15,51,2,75.0,2.94,23.53,Duplicate record,51,17,51,1.1,
2025-07-23T13:45:32.040629,4,ai-and-the-global-economy.pdf,540,97,433,10,80.19,1.85,18.89,Duplicate record,427,113,427,1.1,
2025-07-23T13:45:34.553844,5,AI100Report_MT_10.pdf,126,32,94,0,74.6,0.0,25.4,Duplicate record,89,34,92,1.1,
2025-07-23T14:45:41.007495,1,Affects of GenAI on Highskilled Work.pdf,334,80,249,5,74.55,1.5,24.7,Duplicate record,244,87,247,1.1,
2025-07-23T14:49:48.085191,1,Affects of GenAI on Highskilled Work.pdf,334,80,249,5,74.55,1.5,24.7,Duplicate record,244,87,247,1.1,
2025-07-23T14:54:15.615430,3,AI use case.pdf,68,15,51,2,75.0,2.94,23.53,Duplicate record,51,17,51,1.1,
2025-07-23T14:54:51.646003,4,ai-and-the-global-economy.pdf,540,97,433,10,80.19,1.85,18.89,Duplicate record,427,113,427,1.1,
2025-07-23T14:55:43.733718,5,AI100Report_MT_10.pdf,126,32,94,0,74.6,0.0,25.4,Duplicate record,89,34,92,1.1,
2025-07-23T15:05:54.071277,6,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,374,100,264,10,70.59,2.67,28.07,Duplicate record,263,111,263,1.1,
2025-07-23T15:05:55.644295,7,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2472,110,2352,10,95.15,0.4,4.65,Duplicate record,2337,129,2343,1.1,
2025-07-23T15:05:57.305143,8,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,20,1,19,0,95.0,0.0,5.0,Duplicate record,10,4,16,1.1,
2025-07-23T15:05:58.873016,9,GenAi and the Nature of Work.pdf,240,61,175,4,72.92,1.67,26.25,Duplicate record,175,65,175,1.1,
2025-07-23T15:06:00.271057,10,Generative AI at Work.pdf,298,58,233,7,78.19,2.35,20.64,Duplicate record,232,66,232,1.1,
2025-07-23T15:08:35.252375,11,gs-new-decade-begins.pdf,162,29,131,2,80.86,1.23,18.52,Duplicate record,131,31,131,1.1,
2025-07-23T15:08:36.791240,12,hai_ai_index_report_2025.pdf,458,167,291,0,63.54,0.0,36.46,Duplicate record,291,167,291,1.1,
2025-07-23T15:08:38.161029,13,Mapping-AI-readiness-final.pdf,474,127,329,18,69.41,3.8,28.69,Duplicate record,327,147,327,1.1,
2025-07-23T15:08:39.844875,14,nvidia-cost-trends-ai-inference-at-scale.pdf,38,5,32,1,84.21,2.63,14.47,Duplicate record,30,8,30,1.1,
2025-07-23T15:08:41.421320,15,the-economic-impact-of-large-language-models.pdf,272,63,199,10,73.16,3.68,25.0,Duplicate record,194,75,197,1.1,
2025-07-23T15:12:56.215741,16,wpiea2024231-print-pdf.pdf,244,52,181,11,74.18,4.51,23.57,Duplicate record,168,67,177,1.1,
2025-07-23T15:12:58.026684,17,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,5356,791,4510,55,84.2,1.03,15.28,Duplicate record,4470,874,4482,1.1,
2025-07-23T15:13:00.004612,18,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",202,53,149,0,73.76,0.0,26.24,Duplicate record,149,53,149,1.1,
2025-07-23T15:13:01.681284,19,Economic_Impacts_Paper.pdf,118,30,88,0,74.58,0.0,25.42,Duplicate record,88,30,88,1.1,
2025-07-23T15:13:03.180863,20,Machines of mind_ The case for an AI-powered productivity boom.pdf,36,14,22,0,61.11,0.0,38.89,Duplicate record,22,14,22,1.1,
2025-07-23T15:13:04.761029,21,oecd-artificial-intelligence-review-2025.pdf,2,1,1,0,50.0,0.0,50.0,Duplicate record,1,1,1,1.1,
2025-07-23T15:13:06.179432,22,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",4,2,2,0,50.0,0.0,50.0,Duplicate record,2,2,2,1.1,
2025-07-23T16:19:27.078684,99,Source_99,4,3,1,0,25.0,0.0,75.0,Duplicate record,1,1,1,1.1,
2025-07-23T16:20:15.968181,99,Source_99,4,3,1,0,25.0,0.0,75.0,Duplicate record,1,1,1,1.1,
2025-07-23T16:21:11.686835,99,Source_99,4,3,1,0,25.0,0.0,75.0,Duplicate record,1,1,1,1.1,
2025-07-23T16:30:25.793706,7,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2472,1097,1366,9,55.26,0.36,44.56,Duplicate record,1351,129,2343,1.1,
