value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
0.0,count,workforce_augmentation,government_public,"Cases C and D represent ministries at the national tier of government with over 1,000 (Case C) and over 4,000 employees (Case D). In Cases E and F, the organizations are agencies at the regional level with over 400 and over 20 employ",11,3,0.9000588235294117,2024,pattern_matching,[],Cases,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703156,6282
1.0,count,workforce_augmentation,government_public,"Cases C and D represent ministries at the national tier of government with over 1,000 (Case C) and over 4,000 employees (Case D). In Cases E and F, the organizations are agencies at the regional level with over 400 and over 20 empl",11,3,0.9000588235294117,2024,pattern_matching,[],Cases,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703155,6281
400.0,count,workforce_augmentation,government_public,"In Cases E and F, the organizations are agencies at the regional level with over 400 and over 20 employ  ees, respectively. Cases G and H are local municipal administrations, G being a larger municipality with over 5,000 employees whi",11,3,0.9000588235294117,2024,pattern_matching,[],In Cases,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703158,6284
20.0,count,workforce_augmentation,government_public,"In Cases E and F, the organizations are agencies at the regional level with over 400 and over 20 employ  ees, respectively. Cases G and H are local municipal administrations, G being a larger municipality with over 5,000 employees while H has 200",11,3,0.9000588235294117,2024,pattern_matching,[],In Cases,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703158,6285
4.0,count,workforce_augmentation,government_public,"Cases C and D represent ministries at the national tier of government with over 1,000 (Case C) and over 4,000 employees (Case D). In Cases E and F, the organizations are agencies at the regional level with over 400 and over 20 employ  ees, respectively.",11,3,0.9000588235294117,2024,pattern_matching,[],Cases,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703157,6283
1.0,millions_usd,ai_investment_amount,government_public,"Projects must have a budget of at least EUR 1 million for developing AI systems capable of making recommendations, forecasting or decision making. Examples of expected proposals include raising energy ef",106,9,0.8990882352941176,2024,pattern_matching,[],Projects,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834889,5387
2020.0,number,ai_implementation_count,government_public,"Relatedly, several studies (Bovens and Zouridis 2002  Bullock 2019  Justin, Young, and Wang 2020  de Boer and Raaphorst 2021  Young, Bullock, and Lecy 2019) discussed how AI systems affect street-level bureaucrat discretion, arguing that the cont",4,0,0.8835588235294118,2024,pattern_matching,[],Relatedly,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703106,6218
2021.0,number,ai_implementation_count,government_public,"Relatedly, several studies (Bovens and Zouridis 2002  Bullock 2019  Justin, Young, and Wang 2020  de Boer and Raaphorst 2021  Young, Bullock, and Lecy 2019) discussed how AI systems affect street-level bureaucrat discretion, arguing that the context determined whether to us",4,0,0.8835588235294118,2024,pattern_matching,[],Relatedly,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703107,6219
2019.0,number,ai_implementation_count,government_public,"Relatedly, several studies (Bovens and Zouridis 2002  Bullock 2019  Justin, Young, and Wang 2020  de Boer and Raaphorst 2021  Young, Bullock, and Lecy 2019) discussed how AI systems affect street-level bureaucrat dis",4,0,0.8835588235294118,2024,pattern_matching,[],Relatedly,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703105,6217
2002.0,number,ai_implementation_count,government_public,"Relatedly, several studies (Bovens and Zouridis 2002  Bullock 2019  Justin, Young, and Wang 2020  de Boer and Raaphorst 2021  Young, Bullock, and Lecy 2019) discussed how AI systems affect street-level",4,0,0.8835588235294118,2024,pattern_matching,[],Relatedly,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703104,6216
