value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
18.0,count,ai_implementation_count,real_estate_construction,17 Some early delivery robots were deployed on controlled campuses18 to carry books and food. A diverse collection of companies worldwide are actively pursuing business opportunities in autonomous delivery systems,14,5,0.82115,2024,pattern_matching,[],Some,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895894,1598
2.3,percentage,ai_adoption_rate,real_estate_construction,"In contrast, sectors such as transportation and warehousing (2.3%), accommodation and food services (2.9%), and construction (3.1%) trail well behind, reflecting structural differences across the economy.",18,3,0.82115,2024,pattern_matching,[],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576688,10333
1987.0,number,ai_patents_filed,real_estate_construction,"Figure 2 presents the shares of equipment and intellectual property products (IPP) to overall capital over the period 1953-1987. We can see that both shares are increasing, with the share of IPP rising from 5 percent to 7 percent and the share of equipment rising from 30 perce",2,1,0.80795,2024,pattern_matching,[],Figure,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670866,11229
1953.0,number,ai_patents_filed,real_estate_construction,"Figure 2 presents the shares of equipment and intellectual property products (IPP) to overall capital over the period 1953-1987. We can see that both shares are increasing, with the share of IPP rising from 5 percent to 7 percent and the share of equipment rising from 30",2,1,0.80795,2024,pattern_matching,[],Figure,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670865,11228
1960.0,number,net_employment_change,real_estate_construction,"construction technology due to its potential labor market impact 248 the Luddites destroyed textile machinery in early 1800s England 249 and, in the 1960s, arguably a golden age for the US labor market, experts warned that labor-saving technology could devastate US employment.",55,4,0.80795,2024,pattern_matching,[],Luddites,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896570,2488
249.0,number,net_employment_change,real_estate_construction,"tivity-enhancing construction technology due to its potential labor market impact 248 the Luddites destroyed textile machinery in early 1800s England 249 and, in the 1960s, arguably a golden age for the US labor market, experts warned that labor-saving technology could devastate US employment.",55,4,0.80795,2024,pattern_matching,[],Luddites,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896569,2487
15.9,percentage,ai_adoption_rate,real_estate_construction,"2%) and utilities (15.9%). In contrast, sectors such as transportation and warehousing (2.3%), accommodation and food services (2.9%), and construction (3.",18,3,0.7464999999999999,2024,pattern_matching,[],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576685,10329
18.2,percentage,ai_adoption_rate,real_estate_construction,"This is followed closely by the professional, scientific, and technical services sector (18.2%) and utilities (15.9%). In contrast, sectors such as transportation and warehousing (2.",18,3,0.7464999999999999,2024,pattern_matching,[],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576684,10327
17.0,count,ai_implementation_count,real_estate_construction,17 Some early delivery robots were deployed on controlled campuses18 to carry books and food. A diverse collection of companies worldwide are actively p,14,5,0.7464999999999999,2024,pattern_matching,[],Some,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895893,1597
20.0,number,ai_implementation_count,real_estate_construction,A group of restaurants opened in China staffed by a team of 20 robots to help cook and serve food.17 Some early delivery robots were deployed on controlled campuses18 to carry books and food.,14,5,0.7464999999999999,2024,pattern_matching,[],China,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895893,1596
16.0,number,ai_implementation_count,real_estate_construction,"16 Whereas deployment of AI in user-facing vision and language technologies is now commonplace, the majority of types of robotics systems remain lab-bou",14,5,0.7464999999999999,2024,pattern_matching,[],Whereas,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895890,1593
2.0,number,ai_patents_filed,real_estate_construction,Figure 2 presents the shares of equipment and intellectual property products (IPP) to overall capital over the period 1953-1987. We can see that both shares a,2,1,0.7344999999999999,2024,pattern_matching,[],Figure,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670864,11227
88.0,percentage,time_savings,real_estate_construction,Waymo vehicles had an 88% reduction in property damage,160,24,0.7344999999999999,2024,pattern_matching,[],Waymo,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.379200,8925
12.0,number,ai_implementation_count,real_estate_construction,"transportation and warehousing, (9) information, (10) finance, insurance, real estate, rental, and leasing, (11) professional and business services, (12) educational services, health care, and social assistance, (13) arts, entertainment, recreation, accommodation, and food services, and (14) other ser",52,24,0.6872800000000001,2024,pattern_matching,['Missing required context keywords'],,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.887048,428
2.0,number,ai_implementation_count,real_estate_construction,"The 14 NIPA industries are: (1) agriculture, forestry, fishing, and hunting, (2) mining , (3) utilities, (4) construction, (5) manufacturing, (6) wholesale trade, (7) retail trade, (8) transportation and warehousing, (9) informat",52,24,0.6872800000000001,2024,pattern_matching,['Missing required context keywords'],,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.887038,418
6.0,number,ai_implementation_count,real_estate_construction,"The 14 NIPA industries are: (1) agriculture, forestry, fishing, and hunting, (2) mining , (3) utilities, (4) construction, (5) manufacturing, (6) wholesale trade, (7) retail trade, (8) transportation and warehousing, (9) information, (10) finance, insurance, real estate, rental, and leasing, (",52,24,0.6872800000000001,2024,pattern_matching,['Missing required context keywords'],,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.887041,422
