value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
34.0,number,workforce_augmentation,unknown,"We broaden the definition of young (or inexperienced) workers to be all those employed aged 25 to 34, and we broaden the period to 1948-2023. Figure 9 shows the share of young workers against the trend growth rate of labor productivity.",9,4,0.77,2024,pattern_matching,[],Figure,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670917,11284
40.0,number,ai_patents_filed,unknown,"Group these embeddings into k neighborhoods using k-means clustering, where k is chosen so that the average number of tasks per neighborhood is 40. We group tasks into neighborhoods because the names and descriptions for all base clusters may not fit within Claude s context window.",16,10,0.77,2024,pattern_matching,[],Group,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192448,6031
36.0,percentage,job_creation,unknown,internal barrier Most common external barrier European Union Difficulties hiring staff with the right skills (57%) Lack of public external financing (36%) France Cost of adapting operational processes (59%) Liability for potential damage caused (51%) Germany Difficulties hiring staff with the right ski,56,13,0.77,2024,pattern_matching,[],Most,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834536,4909
57.0,number,job_creation,unknown,Most common internal barrier Most common external barrier European Union Difficulties hiring staff with the right skills (57%) Lack of public external financing (36%) France Cost of adapting operational processes (59%) Liability for potential damage caused (51%) Germany Dif,56,13,0.77,2024,pattern_matching,[],Most,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834535,4908
76.0,percentage,ai_adoption_rate,unknown,nce Cost of adapting operational processes (59%) Liability for potential damage caused (51%) Germany Difficulties hiring staff with the right skills (76%) Strict standards for data exchange (53%) Italy Cost of adoption (62%) Lack of public external financing (53%) United Kingdom Cost of adoption (46%),56,13,0.77,2024,pattern_matching,[],Cost,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834540,4915
51.0,number,job_creation,unknown,right skills (57%) Lack of public external financing (36%) France Cost of adapting operational processes (59%) Liability for potential damage caused (51%) Germany Difficulties hiring staff with the right skills (76%) Strict standards for data exchange (53%) Italy Cost of adoption (62%) Lack of public,56,13,0.77,2024,pattern_matching,[],Lack,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834539,4914
51.0,percentage,ai_adoption_rate,unknown,right skills (57%) Lack of public external financing (36%) France Cost of adapting operational processes (59%) Liability for potential damage caused (51%) Germany Difficulties hiring staff with the right skills (76%) Strict standards for data exchange (53%) Italy Cost of adoption (62%) Lack of public e,56,13,0.77,2024,pattern_matching,[],Lack,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834539,4913
14.0,number,ai_patents_filed,unknown,"and map exposed tasks to occupations, and then map occupations to 14 aggregated NIPA (National Income and Product Accounts) industries using the fractions of workers in each occupation employed across industries.",29,25,0.77,2024,pattern_matching,[],National Income,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886787,140
53.0,number,job_creation,unknown,s (59%) Liability for potential damage caused (51%) Germany Difficulties hiring staff with the right skills (76%) Strict standards for data exchange (53%) Italy Cost of adoption (62%) Lack of public external financing (53%) United Kingdom Cost of adoption (46%) Strict standards for data exchange (31%),56,13,0.77,2024,pattern_matching,[],Liability,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834542,4918
53.0,percentage,ai_adoption_rate,unknown,s (59%) Liability for potential damage caused (51%) Germany Difficulties hiring staff with the right skills (76%) Strict standards for data exchange (53%) Italy Cost of adoption (62%) Lack of public external financing (53%) United Kingdom Cost of adoption (46%) Strict standards for data exchange (31%),56,13,0.77,2024,pattern_matching,[],Liability,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834542,4917
76.0,number,job_creation,unknown,nce Cost of adapting operational processes (59%) Liability for potential damage caused (51%) Germany Difficulties hiring staff with the right skills (76%) Strict standards for data exchange (53%) Italy Cost of adoption (62%) Lack of public external financing (53%) United Kingdom Cost of adoption (46%),56,13,0.77,2024,pattern_matching,[],Cost,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834541,4916
3.0,number,workforce_augmentation,unknown,"27 Some reports have disputed the stated cost of DeepSeek-V3, arguing that when factoring in employee salaries, capital expenditures, and research expenses, the actual development costs were significantly highe",65,27,0.77,2024,pattern_matching,[],Some,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378935,8562
59.0,percentage,productivity_improvement,unknown,"Automation tools like robotic process automation (RPA) significantly improve operational efficiency, enabling business professionals to produce 59% more documents per hour and programmers to code 126% more projects per week  20,21 .",3,5,0.77,2024,pattern_matching,[],Automation,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815837,3610
15.0,percentage,productivity_improvement,unknown,"1 trillion in productive capacity, equivalent to 15% of the country s GDP in 2023. The US is followed by Germany ($837 billion or 18% of 2023 GDP), India ($621 billion or 18% of 2023 GDP), the UK ($532",2,6,0.77,2023,pattern_matching,[],Germany,ai-and-the-global-economy.pdf,2025-07-24T17:20:01.448568,1270
23.0,percentage,ai_budget_percentage,unknown,"Given the shift required to build AI-ready cloud and data foundations, manufacturers tend to require more investment with 23% of manufacturing organizations spending $100k to less than $500k on cloud per month, exceeding the 20% industry average.",49,5,0.77,2024,pattern_matching,[],Given,AI strategy.pdf,2025-07-24T17:20:01.210095,1125
10.0,number,ai_implementation_count,unknown,"On a scale of 1 10, how would you rate the complexity of AI tools and systems used in your organization (1 being very simple and 10 being highly complex)  AI_Complexity_level (scale 1 10) scale numeric",6,19,0.77,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815864,3642
13.8,number,workforce_augmentation,unknown,"Chatbots have enhanced productivity in customer service, with AI-assisted support agents handling 13.8% more inquiries per hour  24 . Automation tools like robotic process automation (RPA) significantly improve operational efficiency, enabling business",3,5,0.77,2024,pattern_matching,[],Chatbots,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815834,3606
13.8,percentage,productivity_improvement,unknown,"Chatbots have enhanced productivity in customer service, with AI-assisted support agents handling 13.8% more inquiries per hour  24 . Automation tools like robotic process automation (RPA) significantly improve operational efficiency, enabling business",3,5,0.77,2024,pattern_matching,[],Chatbots,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815833,3605
9.5,percentage,ai_adoption_rate,unknown,"Interestingly, the smallest firms (one to four employees) report relatively higher AI use (9.5%) than many midsized businesses, suggesting that niche or highly digital small businesses may also be early adopters (see Figure 7).",17,3,0.77,2024,pattern_matching,[],Interestingly,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576679,10319
6.5,count,workforce_augmentation,unknown,"This far outpaces adoption rates among smaller firms, where usage falls to just 6.5% for businesses employing between 10 and 19 workers. Interestingly, the smallest firms (one to four employees) report relatively higher AI use (9.",17,3,0.77,2024,pattern_matching,[],Interestingly,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576676,10315
6.5,percentage,workforce_augmentation,unknown,"This far outpaces adoption rates among smaller firms, where usage falls to just 6.5% for businesses employing between 10 and 19 workers. Interestingly, the smallest firms (one to four employees) report relatively higher AI use (9.",17,3,0.77,2024,pattern_matching,[],Interestingly,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576675,10314
9.0,count,workforce_augmentation,unknown,"Interestingly, the smallest firms (one to four employees) report relatively higher AI use (9.5%) than many midsized businesses, suggesting that niche or highly digital small businesses may also be early adopters (see Figure 7).",17,3,0.77,2024,pattern_matching,[],Interestingly,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576680,10321
9.5,count,workforce_augmentation,unknown,"Interestingly, the smallest firms (one to four employees) report relatively higher AI use (9.5%) than many midsized businesses, suggesting that niche or highly digital small businesses may also be early adopters (see Figure 7).",17,3,0.77,2024,pattern_matching,[],Interestingly,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576679,10320
2023.0,number,workforce_augmentation,unknown,"We broaden the definition of young (or inexperienced) workers to be all those employed aged 25 to 34, and we broaden the period to 1948-2023. Figure 9 shows the share of young workers against the trend growth rate of labor productivity.",9,4,0.77,2024,pattern_matching,[],Figure,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670919,11286
1948.0,number,workforce_augmentation,unknown,"We broaden the definition of young (or inexperienced) workers to be all those employed aged 25 to 34, and we broaden the period to 1948-2023. Figure 9 shows the share of young workers against the trend growth rate of labor productivity.",9,4,0.77,2024,pattern_matching,[],Figure,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670918,11285
46.0,number,ai_patents_filed,unknown,re responsible for an impressive 64% of all AI- related contracts awarded nationally to businesses (demonstrating leadership in securing funding) and 46% of HPC usage (a testament to their critical expertise in testing and developing AI applications).,28,3,0.77,2024,pattern_matching,[],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576758,10420
64.0,number,ai_patents_filed,unknown,"In terms of innovation, these places are responsible for an impressive 64% of all AI- related contracts awarded nationally to businesses (demonstrating leadership in securing funding) and 46% of HPC usage (a testament to th",28,3,0.77,2024,pattern_matching,[],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576756,10418
0.0,number,net_employment_change,unknown,"However, the relatively lower recall for the positive class (0.52) suggests that further refinement is needed to improve the model s sensitivity.   The model achieved an overall accuracy of 80%, with a ROC AUC sc",14,1,0.77,2024,pattern_matching,[],However,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.816050,3852
1.7,percentage,productivity_improvement,unknown,"We see little overall change in the trend during this period, with growth beginning the period at 1.7 percent and ending at 1.8 percent. There was a significant increase in productivity growth trend from the early 1990s to the early 2000s, reaching a peak of",4,3,0.77,2024,pattern_matching,[],There,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670887,11252
2024.0,number,ai_implementation_count,unknown,"ai Free and Pro conversations between November 28, 2024 and December 18, 2024. Unlike our analyses above, we excluded all conversations that our safety systems deemed abusive or harmful, and we did not exc",26,7,0.77,2024,pattern_matching,[],Free,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192535,6133
29.0,number,job_creation,unknown,"In 2021, for example, Bloom examined the geographical spread of 29 disruptive technologies and mapped a gradual diffusion of lower-skill jobs away from their original  frontier  hubs, yet also a persistent centraliza",6,4,0.77,2021,pattern_matching,[],Bloom,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576619,10232
68.0,number,ai_implementation_count,unknown,"singly powerful systems, and performance appears to follow a power law showing increases that continue to grow with increasing data sets or model size68 many believe that major advances in AI will require developing the capacity for generalizing or transferring learning from a training task to a novel",21,3,0.77,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896021,1765
1.0,number,net_employment_change,unknown,"We see little overall change in the trend during this period, with growth beginning the period at 1.7 percent and ending at 1.8 percent. There was a significant increase in productivity growth trend from the early 1990s to the early 2000s, reaching",4,3,0.77,2024,pattern_matching,[],There,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670889,11254
