value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
30.0,number,ai_implementation_count,education,edu MIT Shaping the Future of Work Initiative,0,0,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Shaping,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886644
53.0,number,ai_implementation_count,education,edu MIT Shaping the Future of Work Initiative,0,0,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Shaping,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886653
390.0,number,ai_implementation_count,education,edu MIT Shaping the Future of Work Initiative,0,0,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Shaping,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886655
2142.0,number,ai_implementation_count,education,edu MIT Shaping the Future of Work Initiative,0,0,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Shaping,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886656
0.66,percentage,productivity_improvement,energy_utilities,"estimates on exposure to AI and productivity improvements at the task level, these macroeconomic effects appear nontrivial but modest no more than a 0.",1,4,0.76,2024,pattern_matching,[],,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886658
0.66,number,productivity_improvement,energy_utilities,"estimates on exposure to AI and productivity improvements at the task level, these macroeconomic effects appear nontrivial but modest no more than a 0.",1,4,0.38,2024,pattern_matching,"[""Invalid unit 'number' for productivity_improvement""]",,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886659
0.0,number,productivity_improvement,energy_utilities,"estimates on exposure to AI and productivity improvements at the task level, these macroeconomic effects appear nontrivial but modest no more than a 0.",1,4,0.38,2024,pattern_matching,"[""Invalid unit 'number' for productivity_improvement""]",,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886660
66.0,number,productivity_improvement,energy_utilities,"66% increase in total factor productivity (TFP) over 10 years. The paper then argues that even these estimates could be exaggerated, because early evide",1,4,0.38,2024,pattern_matching,"[""Invalid unit 'number' for productivity_improvement""]",,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886661
0.53,percentage,ai_budget_percentage,energy_utilities,"Consequently, predicted TFP gains over the next 10 years are even more modest and are predicted to be less than 0.53%. I also explore AI s wage and inequality effects.",1,4,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Consequently,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886662
0.53,number,ai_implementation_count,energy_utilities,"Consequently, predicted TFP gains over the next 10 years are even more modest and are predicted to be less than 0.53%. I also explore AI s wage and inequality effects.",1,4,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Consequently,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886663
0.0,number,ai_implementation_count,energy_utilities,"Consequently, predicted TFP gains over the next 10 years are even more modest and are predicted to be less than 0.53%. I also explore AI s wage and inequality effects.",1,4,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Consequently,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886664
53.0,number,workforce_augmentation,energy_utilities,53%. I also explore AI s wage and inequality effects. I show theoretically that even when AI improves the productivity of low-skill workers in certain t,1,4,0.76,2024,pattern_matching,[],,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886666
24.0,number,job_displacement,energy_utilities,"JEL Classification: E24, J24, O30, O33. Keywords: Artificial Intelligence, automation, ChatGPT, inequality, productivity, technology adop- tion, wage.",1,4,0.76,2024,pattern_matching,[],Classification,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,2025-07-24T17:19:59.886666
