value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
2024.0,number,ai_implementation_count,unknown,https:,0,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815767
13.0,number,ai_implementation_count,unknown,https:,0,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815772
3758.0,number,ai_implementation_count,unknown,https:,0,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815774
3390.0,number,ai_implementation_count,unknown,3390 electronics13183758,0,6,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815774
8.0,number,ai_implementation_count,unknown,Received: 8 August 2024,0,8,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Received,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815775
12.0,number,ai_implementation_count,unknown,Revised: 12 September 2024,0,9,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Revised,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815776
19.0,number,ai_implementation_count,unknown,Accepted: 19 September 2024,0,10,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Accepted,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815777
700506.0,number,ai_implementation_count,government_public,"1 Department of Accounting, Business Informatics and Statistics, Alexandru Ioan Cuza University of Iasi, 700506 Iasi, Romania 2 Doctoral School of Economics and Business Administration, Alexandru Ioan Cuza University of Iasi, 700506 Iasi, Romania   Corresponden",0,23,0.4768564705882352,2024,pattern_matching,"['Value 700506.0 outside typical range [0, 10000]', 'Missing required context keywords']",Department,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815778
2.0,number,ai_implementation_count,government_public,"1 Department of Accounting, Business Informatics and Statistics, Alexandru Ioan Cuza University of Iasi, 700506 Iasi, Romania 2 Doctoral School of Economics and Business Administration, Alexandru Ioan Cuza University of Iasi, 700506 Iasi, Romania   Correspondence: sabina.",0,23,0.6812235294117647,2024,pattern_matching,['Missing required context keywords'],Department,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815779
233.0,number,workforce_augmentation,retail_ecommerce,"Data from 233 employees across various industries were analyzed using logistic regression, Random Forest, and XGBoost, with 5-fold cross-validation. The findings reveal that",0,24,0.76,2024,pattern_matching,[],Data,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815780
5.0,number,workforce_augmentation,retail_ecommerce,"Data from 233 employees across various industries were analyzed using logistic regression, Random Forest, and XGBoost, with 5-fold cross-validation. The findings reveal that high levels of AI tool usage and integration within organizational workflows significantly enhance pr",0,24,0.8360000000000001,2024,pattern_matching,[],Data,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815781
4319.0,number,net_employment_change,retail_ecommerce,"4319, p   0.001) further emphasizes the importance of comprehensive AI adoption. Bayesian Network Analysis highlights complex interdependencies between AI",0,24,0.76,2024,pattern_matching,[],Bayesian Network Analysis,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815782
0.001,number,net_employment_change,retail_ecommerce,"4319, p   0.001) further emphasizes the importance of comprehensive AI adoption. Bayesian Network Analysis highlights complex interdependencies between AI usage, inn",0,24,0.76,2024,pattern_matching,[],Bayesian Network Analysis,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815782
1.0,number,net_employment_change,retail_ecommerce,"001) further emphasizes the importance of comprehensive AI adoption. Bayesian Network Analysis highlights complex interdependencies between AI usage, inn",0,24,0.76,2024,pattern_matching,[],Bayesian Network Analysis,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815783
1.0,number,net_employment_change,professional_services,"s, which raises critical questions about the actual economic impact of AI and the mechanisms through which it influences productivity and employment  1 .",0,27,0.733,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815784
2.0,number,job_displacement,professional_services,"When viewed as a complement, AI enhances human productivity by augmenting decision-making processes and operational efficiency  2 . Conversely, when viewed as a substitute, AI can automate tasks traditionally performed by humans, potentially leading to job displacement but also",0,27,0.8063,2024,pattern_matching,[],When,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815785
3.0,number,job_displacement,professional_services,"titute, AI can automate tasks traditionally performed by humans, potentially leading to job displacement but also contributing to productivity gains  3,4 .",0,27,0.733,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815786
4.0,number,job_displacement,professional_services,"tute, AI can automate tasks traditionally performed by humans, potentially leading to job displacement but also contributing to productivity gains  3,4 .",0,27,0.733,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815787
5.0,count,net_employment_change,professional_services,that AI-using firms often experience positive productivity effects without necessarily observing significant negative impacts on overall employment  5 .,0,27,0.733,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815788
6.0,number,ai_implementation_count,professional_services,"rics and national accounting frameworks struggle to capture the full value generated by AI, often leading to an underestimation of its contributions  6 .",0,27,0.5864,2024,pattern_matching,['Missing required context keywords'],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815789
8.0,number,net_employment_change,transportation_logistics,"To tackle these challenges, this study aims to address these challenges by leveraging advanced machine learning models and Bayesian Network Analysi",1,1,0.7779999999999999,2024,pattern_matching,[],Bayesian Network Analysi,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815790
9.0,count,net_employment_change,transportation_logistics,"This is supported by studies showing substantial productivity gains in firms adopting AI technologies  9 . Second, it is hypothesized that the impact of AI on employment is complex, with positive productivity effects at the firm level not necessarily tra",1,1,0.8558,2024,pattern_matching,[],Second,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815791
2.0,number,net_employment_change,transportation_logistics,with positive productivity effects at the firm level not necessarily translating into negative employment effects at the aggregate level (Hypothesis 2).,1,1,0.7779999999999999,2024,pattern_matching,[],Hypothesis,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815792
3.0,number,net_employment_change,transportation_logistics,"search indicating that AI can complement human labor, leading to new job creation and task augmentation rather than straightforward job displacement  3,4 .",1,1,0.7779999999999999,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815793
4.0,number,net_employment_change,transportation_logistics,"arch indicating that AI can complement human labor, leading to new job creation and task augmentation rather than straightforward job displacement  3,4 .",1,1,0.7779999999999999,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815794
3.0,number,workforce_augmentation,transportation_logistics,"that the benefits of AI integration are moderated by factors such as AI complexity, areas of AI utilization, and employee characteristics (Hypothesis 3).",1,1,0.7779999999999999,2024,pattern_matching,[],Hypothesis,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815794
1.0,number,ai_implementation_count,transportation_logistics,"This is supported by evidence that the impact of AI varies significantly across different contexts and applications  1,5 . By employing sophisticated analytical techniques and building on a robust theoretical foundation, this study seeks to contribute to the ongoing d",1,1,0.8558,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815795
5.0,number,ai_implementation_count,transportation_logistics,"This is supported by evidence that the impact of AI varies significantly across different contexts and applications  1,5 . By employing sophisticated analytical techniques and building on a robust theoretical foundation, this study seeks to contribute to the ongoing dis",1,1,0.8558,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815796
233.0,number,workforce_augmentation,transportation_logistics,"First, it utilizes a unique dataset derived from a survey of 233 employees across various industries, providing valuable empirical insights into the ways AI tools impact productivity.",1,1,0.7779999999999999,2024,pattern_matching,[],First,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815797
5.0,number,job_creation,retail_ecommerce,"Section 5 discusses the broader implications of these findings, particularly concerning AI s potential to enhance productivity and its differential effects acr",2,1,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Section,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815798
