value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
2024.0,number,net_employment_change,education,", 2024  to analyze over four million Claude.ai conversations through the lens of tasks and occupations in the U.S. Department of Labor s O NET Database.",0,6,0.7692307692307692,2024,pattern_matching,[],Claude,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192260
36.0,percentage,ai_adoption_rate,education,"However, usage of AI extends more broadly across the economy, with  36% of occupations using AI for at least a quarter of their associated tasks. We also analyze how AI is being used for tasks, finding 57% of usage sugges",0,6,0.8461538461538461,2024,pattern_matching,[],However,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192266
36.0,number,ai_implementation_count,education,"However, usage of AI extends more broadly across the economy, with  36% of occupations using AI for at least a quarter of their associated tasks. We also analyze how AI is being used for tasks, finding 57% of usage sugge",0,6,0.676923076923077,2024,pattern_matching,['Missing required context keywords'],However,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192267
57.0,percentage,productivity_improvement,education,"We also analyze how AI is being used for tasks, finding 57% of usage suggests augmentation of human capabilities (e.g., learning or iterating on an output) while 43% suggests automation (e.",0,6,0.7692307692307692,2024,pattern_matching,[],,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192268
57.0,number,job_displacement,education,"We also analyze how AI is being used for tasks, finding 57% of usage suggests augmentation of human capabilities (e.g., learning or iterating on an output) while 43% suggests automation (e.",0,6,0.7692307692307692,2024,pattern_matching,[],,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192269
43.0,percentage,productivity_improvement,education,", learning or iterating on an output) while 43% suggests automation (e.g., fulfilling a request with minimal human involvement). While our data and methods face important limitations and only paint",0,6,0.7692307692307692,2024,pattern_matching,[],While,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192270
43.0,number,job_displacement,education,", learning or iterating on an output) while 43% suggests automation (e.g., fulfilling a request with minimal human involvement). While our data and methods face important limitations and only pain",0,6,0.7692307692307692,2024,pattern_matching,[],While,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192271
2018.0,number,ai_implementation_count,professional_services,", 2018b, Acemoglu, 2021, Trammell and Korinek, 2023, Hering, 2023, Comunale and Manera, 2024, Maslej et al., 2024 . Despite the importance of anticipating a",0,8,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Acemoglu,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192272
2021.0,number,ai_implementation_count,professional_services,", 2018b, Acemoglu, 2021, Trammell and Korinek, 2023, Hering, 2023, Comunale and Manera, 2024, Maslej et al., 2024 . Despite the importance of anticipating and preparing for",0,8,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Acemoglu,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192273
2023.0,number,ai_implementation_count,professional_services,", 2018b, Acemoglu, 2021, Trammell and Korinek, 2023, Hering, 2023, Comunale and Manera, 2024, Maslej et al., 2024 . Despite the importance of anticipating and preparing for these changes, we lack systematic empirica",0,8,0.8360000000000001,2024,pattern_matching,[],Acemoglu,Economic_Impacts_Paper.pdf,2025-07-24T17:20:16.192274
