value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
1471.0,number,ai_implementation_count,unknown,com journals rpxm20,0,1,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703057
9037.0,number,ai_implementation_count,unknown,com journals rpxm20,0,1,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703062
9045.0,number,ai_implementation_count,unknown,com journals rpxm20,0,1,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703063
20.0,number,ai_implementation_count,unknown,com journals rpxm20,0,1,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703064
26.0,count,ai_implementation_count,unknown,"Guirguis   Reto Steiner (2024) Exploring artiﬁcial intelligence adoption in public organizations: a comparative case study, Public Management Review, 26:1, 114-141, DOI: 10.",0,4,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Guirguis   Reto Steiner,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703065
114.0,count,ai_implementation_count,unknown,"is   Reto Steiner (2024) Exploring artiﬁcial intelligence adoption in public organizations: a comparative case study, Public Management Review, 26:1, 114-141, DOI: 10.",0,4,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Reto Steiner,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703066
141.0,count,ai_implementation_count,unknown,"Reto Steiner (2024) Exploring artiﬁcial intelligence adoption in public organizations: a comparative case study, Public Management Review, 26:1, 114-141, DOI: 10.",0,4,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Reto Steiner,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703066
10.108,count,ai_implementation_count,unknown,"ner (2024) Exploring artiﬁcial intelligence adoption in public organizations: a comparative case study, Public Management Review, 26:1, 114-141, DOI: 10.",0,4,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Exploring,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703067
55992.0,number,ai_implementation_count,unknown,Article views: 55992,0,10,0.3136,2024,pattern_matching,"['Value 55992.0 outside typical range [0, 10000]', 'Missing required context keywords']",Article,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703068
144.0,number,ai_implementation_count,financial_services,Citing articles: 144 View citing articles,0,13,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Citing,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703069
2017.0,number,ai_implementation_count,unknown,"there is justified scepticism and fear that governments using AI may become too technocratic (Janssen and Kuk 2016), jeopardize privacy (Maciejewski 2017), reinforce inequalities, and even threaten democracy (Eubanks 2017  O Neil 2016), it has also been pointed out that AI offers a plethora of opportun",1,6,0.616,2024,pattern_matching,['Missing required context keywords'],Janssen,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703070
1.0,number,ai_implementation_count,financial_services,"Thanks to the availability and use of large data sets and transactional data1 and hardware developments, governments could realize new goals (Ulnicane et al.",1,7,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Thanks,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703070
2021.0,number,ai_implementation_count,financial_services,"2021  Margetts and Dorobantu 2019  Hitz-Gamper, Neumann, and Stürmer 2019), such as better decision-making and forecasting, improved communication between",1,7,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Margetts,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703071
2019.0,number,ai_implementation_count,financial_services,"2021  Margetts and Dorobantu 2019  Hitz-Gamper, Neumann, and Stürmer 2019), such as better decision-making and forecasting, improved communication between govern  ment and citizens, personalized public services, reduced adm",1,7,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Margetts,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703072
2024.0,number,ai_implementation_count,unknown,2024.2356444,1,8,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703073
26.0,number,ai_implementation_count,unknown,2048685,1,10,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703074
114.0,number,ai_implementation_count,unknown,2048685,1,10,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703075
141.0,number,ai_implementation_count,unknown,2048685,1,10,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703075
2022.0,number,ai_implementation_count,education,This is an Open Access article distributed under the terms of the,1,11,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Open Access,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703076
4.0,number,ai_implementation_count,education,"org licenses by 4.0 ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited. The terms on which thi",1,11,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703077
0.0,number,ai_implementation_count,education,"0 ), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited. The terms on which thi",1,11,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703078
2021.0,number,job_displacement,manufacturing,"A number of AI application areas have been identified, such as knowledge management, process automation, conversational agents and assistants, pred",2,0,0.76,2024,pattern_matching,[],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703079
2017.0,number,workforce_augmentation,manufacturing,"onal agents and assistants, predictive analytics, fraud and threat detection, resource allocation, and supporting expert tasks (Mehr, Ash, and Fellow 2017  Wirtz, Weyerer, and Geyer 2019).",2,0,0.76,2024,pattern_matching,[],Mehr,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703080
2019.0,number,workforce_augmentation,manufacturing,"ictive analytics, fraud and threat detection, resource allocation, and supporting expert tasks (Mehr, Ash, and Fellow 2017  Wirtz, Weyerer, and Geyer 2019).",2,0,0.76,2024,pattern_matching,[],Mehr,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703080
2019.0,count,job_creation,manufacturing,"Unsurprisingly, public organizations are increasingly considering adopting AI tech  nologies (Sun and Medaglia 2019) and have started to issue policy documents about the use of AI (Ulnicane et al.",2,0,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Unsurprisingly,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703081
2021.0,number,job_creation,manufacturing,"2021). However, while in certain early-adopter countries (e.g. the US or the UK), the use of AI in the public sector is increasing, there are many public",2,0,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],However,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703082
2020.0,number,job_creation,manufacturing,"2021  Oxford Insights 2020  Margetts and Dorobantu 2019  Wirtz and Müller 2019). AI in government is often at an experimental stage (Margetts and Dorobantu 2019), or traditiona",2,0,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Oxford Insights,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703083
2019.0,number,job_displacement,manufacturing,"2021  Oxford Insights 2020  Margetts and Dorobantu 2019  Wirtz and Müller 2019). AI in government is often at an experimental stage (Margetts and Dorobantu 2019), or traditional automation solutions are wr",2,0,0.8360000000000001,2024,pattern_matching,[],Oxford Insights,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703084
2002.0,number,ai_implementation_count,unknown,"Some notable exceptions have studied the role of AI in administrative discretion and transparency (Ahonen and Erkkilä 2020  Bovens and Zouridis 2002  Justin, Young, and Wang 2020  Criado, Valero, and Villodre 2020  de Boer and Raaphorst 2021  Peeters, Giest, and Grimmelikhuijsen 2020), organizatio",2,1,0.616,2024,pattern_matching,['Missing required context keywords'],Some,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703085
2019.0,number,job_creation,unknown,"2021  Sun and Medaglia 2019  Wang, Zhang, and Zhao 2020). Given that AI is a highly complex, general-purpose technology with many new potential application areas (Jöhnk, Weißert",2,1,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Medaglia,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703086
2020.0,number,job_creation,unknown,"2021  Sun and Medaglia 2019  Wang, Zhang, and Zhao 2020). Given that AI is a highly complex, general-purpose technology with many new potential application areas (Jöhnk, Weißert, and Wyrtki 2021), we belie",2,1,0.616,2024,pattern_matching,['Missing required context keywords'],Medaglia,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703087
2021.0,number,job_creation,unknown,"Given that AI is a highly complex, general-purpose technology with many new potential application areas (Jöhnk, Weißert, and Wyrtki 2021), we believe that the lack of research on the mechanisms of AI adoption constitutes a significant research gap.",2,1,0.616,2024,pattern_matching,['Missing required context keywords'],Given,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703088
2021.0,number,ai_implementation_count,unknown,"ed about the specific challenges and facilitating factors in the adoption process of AI projects in public sector practice (Wirtz, Langer, and Fenner 2021) to bridge theoretical considerations about AI usage and practical implementation.",2,1,0.77,2024,pattern_matching,[],Wirtz,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703088
115.0,number,ai_implementation_count,unknown,PUBLIC MANAGEMENT REVIEW 115,2,3,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703089
379.0,number,ai_implementation_count,unknown,"focusing on the wide variety of aspects involved in the phenomenon of AI adoption in the public sector  (Sun and Medaglia 2019, 379) and for a  distinctive approach to AI in the public sector  (Criado et al.",3,0,0.616,2024,pattern_matching,['Missing required context keywords'],Medaglia,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703090
2019.0,number,ai_implementation_count,professional_services,AI may be understood as machines or computer systems that think and act humanly by performing tasks that commonly require human intelligence (e.g.,3,3,0.7749999999999999,2024,pattern_matching,[],,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703091
2021.0,number,ai_implementation_count,professional_services,"finding the best solution to a problem) (Russell and Norvig 2021). In a specific area, AI might outperform humans, but it is  unable to autonomously solve problems in other areas  (Kaplan and Haenlein 2019), so is",3,3,0.8524999999999999,2019,pattern_matching,[],Russell,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703091
2.0,number,ai_implementation_count,professional_services,"2021, 2). Others argue that AI will develop abilities that surpass human intelligence (Kaplan and Haenlein 2019) and  will  . . .  supplant us as the dominan",3,3,0.62,2019,pattern_matching,['Missing required context keywords'],Others,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703092
2019.0,number,ai_implementation_count,professional_services,"Others argue that AI will develop abilities that surpass human intelligence (Kaplan and Haenlein 2019) and  will  . . .  supplant us as the dominant species on the Earth  (Bundy 2017, 285), which is known as AI singularity or  conscious  self-aware AI",3,3,0.682,2019,pattern_matching,['Missing required context keywords'],Others,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703093
2017.0,number,ai_implementation_count,professional_services,"supplant us as the dominant species on the Earth  (Bundy 2017, 285), which is known as AI singularity or  conscious  self-aware AI  (Kaplan and Haenlein 2019, 16).",3,3,0.62,2019,pattern_matching,['Missing required context keywords'],Earth,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703094
285.0,number,ai_implementation_count,professional_services,"supplant us as the dominant species on the Earth  (Bundy 2017, 285), which is known as AI singularity or  conscious  self-aware AI  (Kaplan and Haenlein 2019, 16).",3,3,0.62,2019,pattern_matching,['Missing required context keywords'],Earth,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703095
16.0,number,ai_implementation_count,professional_services,"us as the dominant species on the Earth  (Bundy 2017, 285), which is known as AI singularity or  conscious  self-aware AI  (Kaplan and Haenlein 2019, 16).",3,3,0.62,2019,pattern_matching,['Missing required context keywords'],Earth,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,2025-07-24T17:20:16.703095
