value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
6.0,number,ai_implementation_count,unknown,"6 20 25, 12:51 PM Machines of mind: The case for an AI-pow ered productivity boom",0,22,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Machines,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974831
20.0,number,ai_implementation_count,unknown,"6 20 25, 12:51 PM Machines of mind: The case for an AI-pow ered productivity boom",0,22,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Machines,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974836
25.0,number,ai_implementation_count,unknown,"6 20 25, 12:51 PM Machines of mind: The case for an AI-pow ered productivity boom",0,22,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Machines,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974837
12.0,number,ai_implementation_count,unknown,"6 20 25, 12:51 PM Machines of mind: The case for an AI-pow ered productivity boom",0,22,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Machines,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974838
51.0,number,ai_implementation_count,unknown,"6 20 25, 12:51 PM Machines of mind: The case for an AI-pow ered productivity boom",0,22,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Machines,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974839
1.0,number,ai_implementation_count,unknown,edu articles machines-of-mind-the-case-for-an-ai-pow ered-productivity-boom  1 13,0,23,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974840
13.0,number,ai_implementation_count,unknown,edu articles machines-of-mind-the-case-for-an-ai-pow ered-productivity-boom  1 13,0,23,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974841
1970.0,number,ai_implementation_count,unknown,"World War II until the early 1970s, labor productivity grew at over 3% a year, more",1,19,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],World War,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974842
3.0,percentage,productivity_improvement,unknown,"World War II until the early 1970s, labor productivity grew at over 3% a year, more",1,19,0.7,2024,pattern_matching,[],World War,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974843
3.0,number,ai_implementation_count,unknown,"World War II until the early 1970s, labor productivity grew at over 3% a year, more",1,19,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],World War,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974844
1990.0,number,ai_implementation_count,unknown,"the early 1970s productivity growth slowed dramatically, rebounding in the 1990s, only",1,21,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974844
2000.0,number,ai_implementation_count,unknown,,1,22,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974845
2.0,number,ai_implementation_count,unknown,edu articles machines-of-mind-the-case-for-an-ai-pow ered-productivity-boom  2 13,1,30,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,Machines of mind_ The case for an AI-powered productivity boom.pdf,2025-07-24T17:20:36.974846
