value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
6.0,number,ai_implementation_count,unknown,6,1,4,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576588
2.0,number,ai_implementation_count,education,"Finding  2: The nation s main AI enterprise is concentrated in a limited number of metro areas, but numerous other regions are home to meaningful AI activity .",1,12,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Finding,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576592
20.0,number,ai_implementation_count,education,20,1,12,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576593
26.0,number,ai_implementation_count,unknown,26,1,13,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576594
36.0,number,ai_implementation_count,unknown,36,1,15,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576594
40.0,number,ai_implementation_count,unknown,40,1,16,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576595
54.0,number,ai_implementation_count,unknown,54,1,18,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576596
60.0,number,ai_implementation_count,unknown,60,1,19,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576597
63.0,number,ai_implementation_count,unknown,63,1,20,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576597
64.0,number,ai_implementation_count,unknown,64,1,21,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576598
14.0,number,ai_implementation_count,transportation_logistics,"Then it turns to a benchmarking exercise that groups 14 indicators into three dimensions of regional AI readiness: talent, innovation, and adoption. The  talent  pillar measures the flow of AI-capable work",2,6,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Then,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576599
2021.0,number,ai_implementation_count,transportation_logistics,"Continuing a pattern from a 2021 Brookings report,1 the major AI community types revealed by the new cluster analysis are:",2,7,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Continuing,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576599
1.0,number,ai_implementation_count,transportation_logistics,"Continuing a pattern from a 2021 Brookings report,1 the major AI community types revealed by the new cluster analysis are:",2,7,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Continuing,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576600
28.0,number,ai_implementation_count,information_communication_technology,"Star Hubs: This group of 28 metro areas forms a second echelon of uniformly strong AI ecosystems, balancing top tier talent, research, and enterprise uptake.",2,8,0.76,2024,pattern_matching,[],Star Hubs,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576601
14.0,number,ai_implementation_count,information_communication_technology,Emerging Centers: This group of 14 metro areas combines top performance in two pillars with one developing area.   Focused Movers: These 29 metro areas excel in one pillar while mainta,2,8,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Emerging Centers,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576602
29.0,number,ai_implementation_count,information_communication_technology,Focused Movers: These 29 metro areas excel in one pillar while maintaining foundations in the other two.   Nascent Adopters: This group of 79 metro areas shows moderate perfo,2,8,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Focused Movers,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576602
79.0,number,ai_patents_filed,information_communication_technology,Nascent Adopters: This group of 79 metro areas shows moderate performance across all three pillars.   Others: A group of 43 metro areas that currently lags on multiple pillars.,2,8,0.76,2024,pattern_matching,[],Nascent Adopters,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576603
43.0,number,ai_patents_filed,information_communication_technology,Others: A group of 43 metro areas that currently lags on multiple pillars.,2,8,0.76,2024,pattern_matching,[],Others,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576604
2010.0,number,job_creation,energy_utilities,"5%, yet still comprise only about 2.5% of all U.S. job openings.   Extreme concentrati",3,1,0.76,2024,pattern_matching,[],Extreme,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576604
2025.0,number,job_creation,energy_utilities,"5%, yet still comprise only about 2.5% of all U.S. job openings.   Extreme concentration. The B",3,1,0.76,2024,pattern_matching,[],Extreme,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576605
28.5,percentage,ai_budget_percentage,energy_utilities,"5%, yet still comprise only about 2.5% of all U.S. job openings.   Extreme concentration. The Bay Area accounts for 13% of national job postings featuri",3,1,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Extreme,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576606
28.5,number,job_creation,energy_utilities,"5%, yet still comprise only about 2.5% of all U.S. job openings.   Extreme concentration. The Bay Area accounts for 13% of national job postings featur",3,1,0.76,2024,pattern_matching,[],Extreme,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576607
5.0,number,job_creation,energy_utilities,"5%, yet still comprise only about 2.5% of all U.S. job openings.   Extreme concentration. The Bay Area accounts for 13% of national job postings featur",3,1,0.76,2024,pattern_matching,[],Extreme,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576608
2.5,percentage,ai_budget_percentage,energy_utilities,"5%, yet still comprise only about 2.5% of all U.S. job openings.   Extreme concentration. The Bay Area accounts for 13% of national job postings featuring AI skills, and together with the",3,1,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Extreme,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576609
2.5,number,job_creation,energy_utilities,"5%, yet still comprise only about 2.5% of all U.S. job openings.   Extreme concentration. The Bay Area accounts for 13% of national job postings featuring AI skills, and together with the",3,1,0.76,2024,pattern_matching,[],Extreme,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576609
13.0,percentage,ai_budget_percentage,energy_utilities,"The Bay Area accounts for 13% of national job postings featuring AI skills, and together with the Star Hubs, this group of 30 top- performing metro areas captures 67% of total AI",3,1,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],The Bay Area,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576610
13.0,number,job_creation,energy_utilities,"The Bay Area accounts for 13% of national job postings featuring AI skills, and together with the Star Hubs, this group of 30 top- performing metro areas captures 67% of total AI",3,1,0.76,2024,pattern_matching,[],The Bay Area,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576611
30.0,number,job_creation,energy_utilities,"The Bay Area accounts for 13% of national job postings featuring AI skills, and together with the Star Hubs, this group of 30 top- performing metro areas captures 67% of total AI job postings.",3,1,0.76,2024,pattern_matching,[],The Bay Area,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576612
67.0,percentage,ai_budget_percentage,energy_utilities,"accounts for 13% of national job postings featuring AI skills, and together with the Star Hubs, this group of 30 top- performing metro areas captures 67% of total AI job postings.",3,1,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Star Hubs,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576612
67.0,number,job_creation,energy_utilities,"accounts for 13% of national job postings featuring AI skills, and together with the Star Hubs, this group of 30 top- performing metro areas captures 67% of total AI job postings.",3,1,0.76,2024,pattern_matching,[],Star Hubs,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576613
2.0,number,ai_implementation_count,unknown,"2 AI systems promise to drive productivity by automating routine tasks and at other times augmenting work, allowing humans to focus on higher-value act",4,6,0.7,2024,pattern_matching,[],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576614
5.0,number,ai_implementation_count,unknown,"5   The accessibility of AI innovation and innovation infrastructure, since technical progress plays a disproportionate role in economic growth and bui",5,7,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576615
6.0,count,ai_implementation_count,unknown,"6   Actual adoption of AI by organizations, because broad technology adoption remains an important driver of growth in productivity and living standard",5,7,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Actual,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576616
8.0,number,ai_implementation_count,professional_services,8,6,1,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576616
9.0,number,ai_implementation_count,unknown,"9 In that fashion, strong clustering has long been viewed as a powerful  X-factor  for high-tech growth in the U.S., as scholars such as Michael Porter",6,3,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Michael Porter,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576617
2021.0,number,job_creation,unknown,"In 2021, for example, Bloom examined the geographical spread of 29 disruptive technologies and mapped a gradual diffusion of lower-skill jobs away from their",6,4,0.7,2021,pattern_matching,[],Bloom,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576618
29.0,number,job_creation,unknown,"In 2021, for example, Bloom examined the geographical spread of 29 disruptive technologies and mapped a gradual diffusion of lower-skill jobs away from their original  frontier  hubs, yet also a persistent centraliza",6,4,0.77,2021,pattern_matching,[],Bloom,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576619
1.0,number,ai_implementation_count,professional_services,metro areas across three key pillars of regional AI readiness: 1) local AI talent  2) local AI knowledge creation and infrastructure  and 3) actual local business adoption of AI applications.,7,3,0.76,2024,pattern_matching,[],,Mapping-AI-readiness-final.pdf,2025-07-24T17:20:37.576619
