value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
2024.0,number,ai_implementation_count,unknown,24-25,0,2,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670827
24.0,number,ai_implementation_count,unknown,24-25,0,2,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670833
25.0,number,ai_implementation_count,unknown,24-25,0,2,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670834
21.0,number,ai_implementation_count,unknown,,0,4,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670835
7.0,number,productivity_improvement,financial_services,productivity growth over the next decade. The McKinsey Global Institute f,0,9,0.38,2024,pattern_matching,"[""Invalid unit 'number' for productivity_improvement""]",Global Institute,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670836
1.5,percentage,productivity_improvement,financial_services,productivity growth over the next decade. The McKinsey Global Institute forecasts that generative AI could lead to a 1.5-3.,0,9,0.76,2024,pattern_matching,[],Global Institute,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670837
1.5,number,productivity_improvement,financial_services,productivity growth over the next decade. The McKinsey Global Institute forecasts that generative AI could lead to,0,9,0.38,2024,pattern_matching,"[""Invalid unit 'number' for productivity_improvement""]",Global Institute,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670838
1.0,number,productivity_improvement,financial_services,productivity growth over the next decade. The McKinsey Global Institute forecasts that generative AI could lead t,0,9,0.38,2024,pattern_matching,"[""Invalid unit 'number' for productivity_improvement""]",Global Institute,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670839
5.0,number,productivity_improvement,financial_services,productivity growth over the next decade. The McKinsey Global Institute forecasts that generative AI could lead to,0,9,0.38,2024,pattern_matching,"[""Invalid unit 'number' for productivity_improvement""]",Global Institute,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670840
1.5,number,ai_implementation_count,financial_services,The McKinsey Global Institute forecasts that generative AI could lead to a 1.5-3.4 percentage point increase in average annual GDP growth across the developed world in the next decade.,0,9,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Global Institute,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670841
1.0,number,ai_implementation_count,financial_services,The McKinsey Global Institute forecasts that generative AI could lead to a 1.5-3.4 percentage point increase in average annual GDP growth across the developed world in the next decade.,0,9,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Global Institute,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670842
5.0,number,ai_implementation_count,financial_services,5-3.4 percentage point increase in average annual GDP growth across the developed world in the next decade.,0,9,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670843
3.4,percentage,productivity_improvement,financial_services,5-3.4 percentage point increase in average annual GDP growth across the developed world in the next decade.,0,9,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",2025-07-24T17:20:38.670844
