value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
7.0,percentage,ai_budget_percentage,unknown,Artificial Intelligence Generative AI could raise global GDP by 7%,0,0,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Artificial Intelligence Generative,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661791
7.0,number,ai_implementation_count,unknown,Artificial Intelligence Generative AI could raise global GDP by 7%,0,0,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Artificial Intelligence Generative,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661796
7.0,percentage,productivity_improvement,financial_services,"As tools using advances in natural language processing work their way into businesses and society, they could drive a 7% (or almost $7 trillion) increase in global GDP and lift productivity growth by 1.",0,4,0.8360000000000001,2024,pattern_matching,[],,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661797
7.0,number,productivity_improvement,financial_services,"As tools using advances in natural language processing work their way into businesses and society, they could drive a 7% (or almost $7 trillion) increase in global GDP and lift productivity growth by 1.",0,4,0.41800000000000004,2024,pattern_matching,"[""Invalid unit 'number' for productivity_improvement""]",,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661798
1.5,percentage,productivity_improvement,financial_services,"sing work their way into businesses and society, they could drive a 7% (or almost $7 trillion) increase in global GDP and lift productivity growth by 1.",0,4,0.76,2024,pattern_matching,[],,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661799
1.5,number,productivity_improvement,financial_services,"sing work their way into businesses and society, they could drive a 7% (or almost $7 trillion) increase in global GDP and lift productivity growth by 1.",0,4,0.38,2024,pattern_matching,"[""Invalid unit 'number' for productivity_improvement""]",,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661800
1.0,number,productivity_improvement,financial_services,"sing work their way into businesses and society, they could drive a 7% (or almost $7 trillion) increase in global GDP and lift productivity growth by 1.",0,4,0.38,2024,pattern_matching,"[""Invalid unit 'number' for productivity_improvement""]",,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661801
5.0,number,ai_implementation_count,financial_services,5 percentage points over a 10-year period.,0,4,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661802
10.0,number,ai_implementation_count,financial_services,5 percentage points over a 10-year period.,0,4,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661803
6.0,number,ai_implementation_count,financial_services,"6 20 25, 12:45 PM Generative AI could raise global GDP by 7%   Goldman Sachs",0,7,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Generative,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661804
20.0,number,ai_implementation_count,financial_services,"6 20 25, 12:45 PM Generative AI could raise global GDP by 7%   Goldman Sachs",0,7,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Generative,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661805
25.0,number,ai_implementation_count,financial_services,"6 20 25, 12:45 PM Generative AI could raise global GDP by 7%   Goldman Sachs",0,7,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Generative,gs-new-decade-begins.pdf,2025-07-24T17:20:18.661806
