value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
2017.0,number,ai_implementation_count,unknown,"Since its founding in 2017 as an offshoot of the One Hundred Year Study of Artificial Intelligence, the AI Index has been",1,7,0.5599999999999999,2017,pattern_matching,['Missing required context keywords'],Since,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378602
2024.0,number,ai_implementation_count,professional_services,"While skepticism remains, a global survey in 2024 showed a notable rise in optimism about AI s",2,19,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],While,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378607
18.8,number,ai_implementation_count,professional_services,Beyond,3,5,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Beyond,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378607
48.0,number,ai_implementation_count,professional_services,Beyond,3,5,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Beyond,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378608
67.3,percentage,ai_adoption_rate,professional_services,Beyond,3,5,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Beyond,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378609
67.3,number,ai_implementation_count,professional_services,Beyond,3,5,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Beyond,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378610
223.0,number,ai_implementation_count,unknown,"On the roads, self-driving cars",3,9,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378611
150.0,number,ai_implementation_count,unknown,"operators, provides over 150,000 autonomous rides each week, while",3,10,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378611
109100.0,millions_usd,ai_investment_amount,unknown,private AI investment grew to $109.1 billion nearly 12 times China s $9.3 billion and,3,12,0.7,2024,pattern_matching,[],China,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378612
109.1,number,ai_implementation_count,unknown,private AI investment grew to $109.1 billion nearly 12 times China s $9.3 billion and,3,12,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],China,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378613
9300.0,millions_usd,ai_investment_amount,unknown,1 billion nearly 12 times China s $9.3 billion and,3,12,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],China,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378614
9.3,number,ai_implementation_count,unknown,1 billion nearly 12 times China s $9.3 billion and,3,12,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],China,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378614
33900.0,millions_usd,ai_investment_amount,unknown,9 billion globally in private,3,13,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378615
18.7,percentage,ai_adoption_rate,unknown,AI business usage is also accelerating: 78% of organizations reported using AI in,3,14,0.7,2024,pattern_matching,[],,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378616
18.7,count,ai_implementation_count,unknown,AI business usage is also accelerating: 78% of organizations reported using AI in,3,14,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378616
18.0,count,ai_implementation_count,unknown,AI business usage is also accelerating: 78% of organizations reported using AI in,3,14,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378617
7.0,count,ai_implementation_count,unknown,AI business usage is also accelerating: 78% of organizations reported using AI in,3,14,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378618
2023.0,count,ai_implementation_count,unknown,AI business usage is also accelerating: 78% of organizations reported using AI in,3,14,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378619
78.0,percentage,ai_adoption_rate,unknown,AI business usage is also accelerating: 78% of organizations reported using AI in,3,14,0.7,2024,pattern_matching,[],,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378619
