value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
500.0,millions_usd,revenue_increase,education,"Companies with at least $500 million in annual revenue are changing more quickly than smaller organizations. Overall, the use of AI that is, gen AI as well as analytical AI continues to",1,2,0.76,2024,pattern_matching,[],Companies,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963352
500.0,count,ai_implementation_count,education,"Companies with at least $500 million in annual revenue are changing more quickly than smaller organizations. Overall, the use of AI that is, gen AI as well as analytical AI conti",1,2,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Companies,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963356
1.0,count,ai_implementation_count,government_public,1 The state of AI: How organizations are rewiring to capture value,1,3,0.6136470588235294,2024,pattern_matching,['Missing required context keywords'],,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963357
500.0,millions_usd,revenue_increase,professional_services,"hose organizations use AI report that their CEO is responsible for overseeing AI governance, though the share is smaller at larger organizations with $500 million or more in annual revenues, and 17 percent say AI governance is overseen by their board of directors.",2,1,0.8360000000000001,2024,pattern_matching,[],,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963358
500.0,count,ai_implementation_count,professional_services,"ose organizations use AI report that their CEO is responsible for overseeing AI governance, though the share is smaller at larger organizations with $500 million or more in annual revenues, and 17 percent say AI governance is overseen by their board of directors.",2,1,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963359
17.0,percentage,ai_adoption_rate,professional_services,"EO is responsible for overseeing AI governance, though the share is smaller at larger organizations with $500 million or more in annual revenues, and 17 percent say AI governance is overseen by their board of directors.",2,1,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963360
17.0,count,ai_implementation_count,professional_services,"EO is responsible for overseeing AI governance, though the share is smaller at larger organizations with $500 million or more in annual revenues, and 17 percent say AI governance is overseen by their board of directors.",2,1,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963361
25.0,count,ai_implementation_count,professional_services,"The value of AI comes from rewiring how companies run, and the latest survey shows that, out of 25 attributes tested for organizations of all sizes, the redesign of workflows has the biggest effect on an organization s ability to see EBIT impact fr",2,2,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963361
1.0,count,ai_implementation_count,unknown,"1 The correlation analyses considered 25 attributes and the reported effect of gen AI use on organizations  EBIT, and using the",2,3,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963362
25.0,count,ai_implementation_count,unknown,"1 The correlation analyses considered 25 attributes and the reported effect of gen AI use on organizations  EBIT, and using the",2,3,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963363
0.2,count,ai_implementation_count,education,"The attributes included which leaders oversee AI governance at organizations, how organizations are managing the time saved by gen AI deployment (fo",2,4,0.7692307692307692,2024,pattern_matching,[],,the-state-of-ai-how-organizations-are-rewiring-to-capture-value_final.pdf,2025-07-24T17:20:40.963364
