page,category,type,value,unit,year,geography,sector,company_size,description,context,quality,confidence
6,adoption,adoption_rate,70.0,percentage,,United States,all_sectors,,GAI adoption rate in United States,"6
50%
56%
73%
Early adopters of GAI are using the technology to innovate  
and become more efficient
Today, more businesses are using GAI for innovation and creativity (70%) than to automate repetitiv",high,0.9
6,labor_market,job_postings_rate,50.0,percentage,,United States,Technology,,job_postings_rate metric: 50.0,"6
50%
56%
73%
Early adopters of GAI are using the technology to innovate  
and become more efficient
Today, more businesses are using GAI for innovation and creativity (70%) than to automate repetitiv",medium,0.8
6,labor_market,job_postings_rate,6.0,percentage,,United States,Technology,,job_postings_rate metric: 6.0,"6
50%
56%
73%
Early adopters of GAI are using the technology to innovate  
and become more efficient
Today, more businesses are using GAI for innovation and creativity (70%) than to automate repetitiv",medium,0.8
6,labor_market,job_postings_rate,3.0,percentage,,United States,Technology,,job_postings_rate metric: 3.0,"6
50%
56%
73%
Early adopters of GAI are using the technology to innovate  
and become more efficient
Today, more businesses are using GAI for innovation and creativity (70%) than to automate repetitiv",medium,0.8
6,labor_market,job_postings_rate,71.0,percentage,,United States,Technology,,job_postings_rate metric: 71.0,"6
50%
56%
73%
Early adopters of GAI are using the technology to innovate  
and become more efficient
Today, more businesses are using GAI for innovation and creativity (70%) than to automate repetitiv",medium,0.8
6,labor_market,job_postings_rate,9.0,percentage,,United States,Technology,,job_postings_rate metric: 9.0,"6
50%
56%
73%
Early adopters of GAI are using the technology to innovate  
and become more efficient
Today, more businesses are using GAI for innovation and creativity (70%) than to automate repetitiv",medium,0.8
6,labor_market,job_postings_rate,5.0,percentage,,United States,Technology,,job_postings_rate metric: 5.0,"6
50%
56%
73%
Early adopters of GAI are using the technology to innovate  
and become more efficient
Today, more businesses are using GAI for innovation and creativity (70%) than to automate repetitiv",medium,0.8
6,investment,vc_funding,50.0,percentage,,United States,Technology,,vc_funding metric: 50.0,"6
50%
56%
73%
Early adopters of GAI are using the technology to innovate  
and become more efficient
Today, more businesses are using GAI for innovation and creativity (70%) than to automate repetitiv",medium,0.8
6,investment,vc_funding,6.0,percentage,,United States,Technology,,vc_funding metric: 6.0,"6
50%
56%
73%
Early adopters of GAI are using the technology to innovate  
and become more efficient
Today, more businesses are using GAI for innovation and creativity (70%) than to automate repetitiv",medium,0.8
6,investment,vc_funding,3.0,percentage,,United States,Technology,,vc_funding metric: 3.0,"6
50%
56%
73%
Early adopters of GAI are using the technology to innovate  
and become more efficient
Today, more businesses are using GAI for innovation and creativity (70%) than to automate repetitiv",medium,0.8
