id,source_id,metric_type,value,unit,year,sector,region,technology,context,confidence,page_number,created_at,updated_at,issue_type,issue_details
276,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:07:18.595305,2025-07-20 00:07:18.595305,duplicate,Appears 6 times
277,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:07:18.595306,2025-07-20 00:07:18.595307,duplicate,Appears 6 times
278,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:07:18.595308,2025-07-20 00:07:18.595309,duplicate,Appears 6 times
694,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:07:18.596018,2025-07-20 00:07:18.596018,duplicate,Appears 6 times
2652,17,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:07:18.875417,2025-07-20 00:07:18.875418,duplicate,Appears 6 times
2653,17,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:07:18.875418,2025-07-20 00:07:18.875419,duplicate,Appears 6 times
2654,17,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:07:18.875420,2025-07-20 00:07:18.875420,duplicate,Appears 6 times
3070,17,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:07:18.875965,2025-07-20 00:07:18.875966,duplicate,Appears 6 times
4533,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:07:19.123415,2025-07-20 00:07:19.123416,duplicate,Appears 6 times
4534,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:07:19.123417,2025-07-20 00:07:19.123417,duplicate,Appears 6 times
4535,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:07:19.123418,2025-07-20 00:07:19.123419,duplicate,Appears 6 times
4951,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:07:19.123989,2025-07-20 00:07:19.123990,duplicate,Appears 6 times
6405,7,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:08:49.124052,2025-07-20 00:08:49.124053,duplicate,Appears 6 times
6406,7,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:08:49.124054,2025-07-20 00:08:49.124055,duplicate,Appears 6 times
6407,7,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:08:49.124056,2025-07-20 00:08:49.124057,duplicate,Appears 6 times
6823,7,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:08:49.124775,2025-07-20 00:08:49.124776,duplicate,Appears 6 times
8781,17,general_rate,0.0,percentage,2020,,,,2000- 2010 2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%,0.7,,2025-07-20 00:08:49.391941,2025-07-20 00:08:49.391942,duplicate,Appears 6 times
8782,17,general_rate,0.0,percentage,2020,,,,2010- 2020 after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3,0.7,,2025-07-20 00:08:49.391943,2025-07-20 00:08:49.391944,duplicate,Appears 6 times
8783,17,general_rate,0.0,percentage,2020,,,,after 2020 can 50-249 ict 0 (0.0%) 0 (0.0%) 0 (0.0%) 2 (6.7%) 3 (10.0%) 4 (13.3%) 13 (43.3%) 8 (26.7,0.7,,2025-07-20 00:08:49.391945,2025-07-20 00:08:49.391945,duplicate,Appears 6 times
9199,17,general_rate,0.0,percentage,2020,,,,based on 2020 spending country enterprise size sector 0% between 1% and 10% between 11% and 30% cannot discuss,0.7,,2025-07-20 00:08:49.392663,2025-07-20 00:08:49.392664,duplicate,Appears 6 times
